scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1898.084,80.488,0.9950000047683716,1865.509,50.378,1.0,1851.425,3.999,0.30300000309944153,1111.746,701.256,1.0,1125.994,734.45,1.0,1119.888,772.264,1.0,1106.164,618.272,1.0,1115.275,669.308,1.0,,,1.0,685.823,392.96,1.0,684.403,429.734,1.0,676.346,459.693,1.0,1794.254,459.501,0.9990000128746033,1779.56,530.101,0.9950000047683716,1726.943,591.634,1.0,1716.948,652.251,1.0,1676.928,712.382,1.0
1,1897.566,80.819,0.9919999837875366,1865.097,50.656,1.0,1852.093,10.771,0.40299999713897705,1114.827,709.647,1.0,1121.094,735.274,1.0,1124.246,770.422,1.0,1106.789,618.635,1.0,1116.181,668.509,1.0,,,1.0,683.399,393.917,1.0,684.045,428.583,1.0,676.266,460.08,1.0,1794.845,459.824,0.9919999837875366,1779.794,529.765,0.9990000128746033,1728.303,591.767,1.0,1680.365,642.907,1.0,1671.204,710.124,1.0
2,1899.232,81.27,0.9900000095367432,1864.707,50.05,1.0,1852.385,10.446,0.5400000214576721,1114.599,709.187,1.0,1123.001,734.796,1.0,1130.719,765.8,1.0,1107.297,619.18,1.0,1116.518,668.587,1.0,,,1.0,681.648,395.315,1.0,683.628,429.24,1.0,675.275,459.732,1.0,1821.467,468.678,0.9990000128746033,1780.984,530.191,1.0,1728.108,592.117,1.0,1679.957,644.032,1.0,1660.18,706.926,1.0
3,1898.118,82.301,0.9929999709129333,1864.55,50.304,1.0,1851.843,4.305,0.48399999737739563,1114.646,709.831,1.0,1127.159,732.215,1.0,1123.994,769.736,1.0,1107.317,618.851,1.0,1116.435,668.479,1.0,,,1.0,684.038,394.714,1.0,683.788,428.148,1.0,675.669,459.272,1.0,1820.876,468.537,1.0,1778.975,530.384,1.0,1730.747,590.22,1.0,1721.255,655.045,1.0,1669.657,707.785,1.0
4,1897.143,81.61,0.9929999709129333,1864.186,50.344,0.9990000128746033,1851.443,3.997,0.3440000116825104,1114.248,709.366,1.0,1125.679,732.377,1.0,1132.466,767.509,1.0,1106.886,618.942,1.0,1116.283,668.764,1.0,,,1.0,682.568,394.416,1.0,683.863,428.844,1.0,675.725,458.868,1.0,1822.688,468.321,1.0,1789.25,527.467,0.9990000128746033,1733.922,591.016,1.0,1720.423,654.331,1.0,1669.811,708.802,1.0
5,1898.036,83.124,0.9909999966621399,1863.893,50.111,0.9990000128746033,1851.643,3.907,0.18199999630451202,1113.829,709.608,1.0,1122.997,732.608,1.0,1121.687,769.706,1.0,1106.514,618.842,1.0,1116.441,669.332,1.0,,,1.0,682.208,394.572,1.0,683.865,428.665,1.0,675.538,458.868,1.0,1821.774,468.223,1.0,1789.501,529.429,0.9919999837875366,1741.944,591.838,1.0,1717.587,652.702,1.0,1670.813,708.831,1.0
6,1898.769,81.287,0.9860000014305115,1863.506,50.551,1.0,1851.744,4.145,0.46399998664855957,1108.221,706.427,1.0,1120.351,735.468,1.0,1120.561,769.414,1.0,1106.409,618.89,1.0,1116.703,669.223,1.0,,,1.0,682.732,394.539,1.0,683.494,426.142,1.0,676.557,458.681,1.0,1826.799,469.489,1.0,1790.238,530.47,0.9990000128746033,1739.454,593.252,1.0,1712.073,651.436,1.0,1677.166,709.005,1.0
