individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,cup,cup,cup,cup,cup,cup,tap,tap,tap,tap,tap,tap,time_stamp
pose,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,
0,422.34143517135743,29.637995450621574,740.9498862655395,0.0903078295577369,0.6905184557866098,0.7176550411852803,-208.3126388692674,-83.02315317253411,1056.6583131049797,0.057173850726390564,0.9114557822398605,-0.40740582692769695,189.49129115435989,-126.52909914566143,1014.125478957445,0.322857146440483,0.893714628525175,0.31150830767800874,195.58884659532976,-94.92485540383242,1019.8212898887408,0.04318961703310697,0.9860483592830768,0.16075848386846064,1126.6820552486308,-605.6226941568248,1741.009798397443,-0.5299256592218626,0.2615171147094349,-0.8067140722786027,0.0
1,418.74956154743666,29.349155753011825,733.7288938252957,0.03751588486831053,0.7130766814026642,0.7000815701204475,-207.28866448149117,-83.66924275434734,1055.2877464512278,0.13923942624061086,0.8787378781634805,-0.45654367114322136,189.05789707407138,-126.06246359382385,1017.4022438261392,0.3391300983492896,0.824172704993736,0.45357483256559716,189.14170209323765,-92.16446527842403,1020.4101056360856,0.046481966264699914,0.9978828759072313,0.04548838075026004,1191.0013738603836,-644.1398158847549,1840.3994739564428,-0.5277094306325864,0.2654304610753582,-0.8068887328217902,0.03333333333333333
2,419.41709784186503,29.432778795920353,735.8194698980088,0.05552896917169144,0.7230067783374651,0.6886056433553307,-209.0628124693227,-85.28555165716052,1056.6351532745553,0.10173154046215535,0.9202413363965786,-0.37789757403592306,189.39408441034408,-125.98580591638901,1019.3287517956039,0.31829132121523385,0.851129142102356,0.41745636694529936,192.17120629249024,-94.49351116261352,1020.9937662660438,-0.11760998186608743,0.9914393934188316,-0.05670821230437376,803.443822966807,-435.49499253731796,1244.27140724948,-0.5292406421990857,0.25747049421425794,-0.8084635348942866,0.06666666666666667
3,417.6013031506513,33.49504604971812,739.8078453427759,0.052166308474323866,0.7122088942006478,0.700026547554914,-209.11593815439795,-85.3072238680396,1056.9036585420836,0.12218112541770468,0.9323255224584065,-0.3403540697043632,190.38203511779676,-126.24734066867885,1018.7024844104719,0.3348941678364119,0.827560337548386,0.45054387585002054,189.3257210677715,-90.75166523298594,1023.4271935367128,0.0519108441508357,0.9892904876749079,-0.13641699034757562,1229.5117757191124,-665.7025084004033,1902.0071668582955,-0.58860744054856,0.06042214142262951,-0.8061578293093589,0.1
4,418.82075767408185,33.3645112115991,740.9506551292689,0.03569403166148232,0.7230132922935145,0.6899113821866124,-208.9122277808082,-85.22412180227916,1055.8740754264675,0.037595937386952626,0.9480048531393571,-0.3160274417138841,190.0528453712708,-126.58421754440356,1018.7923596588986,0.3505128110678159,0.7945320296735434,0.4958423369380404,189.5042761957987,-90.82057311095897,1024.385539522471,0.05599874165710994,0.9916578459200043,-0.1160984821525124,765.3951329140908,-398.1597618025175,1156.8214700608926,-0.5513868509540586,0.2396097575437442,-0.7990993083996475,0.13333333333333333
5,414.49260376253056,30.163828128264456,728.0924030960387,0.04800623706631935,0.6824325518235719,0.7293704226346859,-208.04556182732387,-85.17807422640433,1055.3035744864255,0.1194618528037754,0.9378885956706638,-0.32572050570327804,189.1671483405949,-126.80034851984904,1017.8937766347763,0.34780762018365896,0.7807822894775351,0.519046121053224,191.49914506473266,-92.25110816363755,1025.219198983134,0.15629483388756488,0.9873362329962565,0.027186171352736672,706.0481225484942,-368.66804359643436,1068.284327482538,-0.5538984757069604,0.2353972071171414,-0.798614195648284,0.16666666666666666
6,419.9291991233845,33.73202079898787,741.922687510687,0.04389137990957872,0.7222267945654408,0.690262271880306,-208.15772715821683,-85.22399698869022,1055.8725290634186,0.1531863860159253,0.9236546994225521,-0.3512775645753867,189.96552525804825,-126.82529560505284,1020.3322275230236,0.3587707073964682,0.820798790429591,0.4444917604900659,196.84207093656596,-95.36341251383108,1026.3757785758335,0.024215865240647873,0.997422959239135,-0.06753541480803758,781.6291295880159,-405.5027405025839,1182.8869311422748,-0.5497477415448623,0.23933662561648106,-0.8003095652963544,0.2
7,417.9508164675334,33.26563812686433,740.284689559122,0.030757138605773664,0.7270653960368895,0.6858789312338632,-208.70006949659992,-89.22684130651736,1058.6235409247822,0.05250141538770368,0.9624561142171734,-0.26631152732892943,188.886349692635,-126.24702839104734,1018.5189859935153,0.33284261109447416,0.8405057172690535,0.4275113278941817,192.72822371563828,-92.58997599255498,1027.955132612759,0.15574628414490943,0.9821035619861717,-0.10590414774279142,812.054841019977,-420.40002688103846,1228.3196003932353,-0.5487474031502676,0.2411966957320791,-0.8004376562254956,0.23333333333333334
8,419.78441387445145,31.928739708655282,732.7907474117607,0.10785061346673326,0.6996873915751337,0.7062618489240623,-206.8732198330957,-86.07133963858726,1057.0164517019489,0.10716239281406029,0.9554151292271634,-0.27513297223380523,188.7941988438585,-126.52807653221555,1018.0131982328971,0.3234499467199856,0.8475149383561755,0.42083079881345004,192.47584112654056,-92.47800237420438,1026.605837627824,0.1263409651572098,0.9847298681565485,-0.11977081148398168,795.7732590960734,-412.8001193739233,1203.0823798894774,-0.549828361694595,0.24080459941497848,-0.7998136767878061,0.26666666666666666
