scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1900.036,78.227,0.9929999709129333,1866.159,53.381,1.0,1859.564,36.769,0.05299999937415123,1228.712,369.737,0.9990000128746033,1226.066,412.997,1.0,1229.016,450.648,1.0,1211.645,328.857,1.0,1218.049,364.587,1.0,1232.328,402.311,1.0,685.578,392.277,1.0,684.166,430.268,1.0,,,1.0,1820.774,467.996,1.0,1784.654,538.368,1.0,1758.802,596.182,1.0,1728.953,658.064,1.0,1691.757,719.793,1.0
1,1898.59,80.442,0.9959999918937683,1866.774,50.626,0.9990000128746033,1851.974,4.005,0.1340000033378601,1218.458,374.674,1.0,1221.056,412.852,1.0,1221.933,453.954,1.0,1209.845,328.921,1.0,1218.629,365.897,1.0,1231.521,404.273,1.0,683.587,395.384,1.0,685.121,429.542,1.0,,,1.0,1822.341,467.216,1.0,1784.513,536.6,1.0,1759.378,596.127,1.0,1728.312,658.358,1.0,1694.169,719.139,1.0
2,1897.838,80.91,0.9980000257492065,1864.413,50.48,1.0,1851.345,4.008,0.3269999921321869,1228.2,369.929,1.0,1220.458,414.368,1.0,1219.613,452.891,1.0,1210.113,329.976,1.0,1218.581,368.185,1.0,1230.85,404.303,1.0,682.219,394.518,1.0,683.713,427.789,1.0,,,1.0,1820.851,467.352,1.0,1785.493,538.04,1.0,1758.943,596.449,1.0,1729.868,653.26,1.0,1698.84,719.075,1.0
3,1900.392,78.598,0.9900000095367432,1865.055,50.784,0.9990000128746033,1851.739,4.1,0.11999999731779099,1216.314,378.884,1.0,1223.5,410.859,1.0,1222.567,454.288,1.0,1211.224,329.899,1.0,1218.263,367.84,1.0,1232.625,403.439,1.0,681.758,394.896,1.0,683.463,427.374,1.0,,,1.0,1819.6,467.761,1.0,1786.278,537.676,1.0,1759.215,594.705,1.0,1729.966,652.597,1.0,1693.433,717.432,1.0
4,1899.419,78.264,0.9909999966621399,1863.021,49.689,1.0,1851.658,3.998,0.24799999594688416,1216.711,378.78,1.0,1223.016,411.649,1.0,1222.225,454.148,1.0,1210.294,329.274,1.0,1219.154,368.03,1.0,1232.245,402.828,1.0,684.505,390.65,1.0,683.97,427.323,1.0,,,1.0,1821.827,467.519,1.0,1786.679,536.256,1.0,1761.25,598.689,1.0,1730.942,654.155,1.0,1693.947,717.294,1.0
5,1899.169,78.224,0.9909999966621399,1863.324,50.002,1.0,1851.74,4.255,0.5090000033378601,1216.696,378.41,1.0,1223.562,410.71,1.0,1227.825,450.727,1.0,1209.346,328.77,1.0,1218.312,367.365,1.0,1231.734,402.947,1.0,682.648,394.892,1.0,684.323,427.588,1.0,,,1.0,1821.136,468.013,1.0,1785.4,535.959,1.0,1757.872,598.73,1.0,1731.179,651.663,1.0,1690.823,717.454,1.0
6,1897.903,80.605,0.9959999918937683,1863.89,50.18,1.0,1851.367,3.999,0.3100000023841858,1227.737,370.935,1.0,1225.381,411.797,1.0,1230.516,450.739,1.0,1209.032,329.131,1.0,1218.999,369.17,1.0,1232.243,402.986,1.0,681.436,395.361,1.0,684.862,427.677,1.0,,,1.0,1821.13,467.212,1.0,1786.36,536.817,1.0,1758.369,600.573,1.0,1729.76,656.871,1.0,1695.186,718.082,1.0
