scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
50,398.814,169.12,1.0,403.512,228.49,0.9879999756813049,450.12,299.013,1.0,461.132,352.83,1.0,484.109,412.098,0.10100000351667404
51,399.251,169.337,1.0,403.209,228.49,0.9700000286102295,450.12,299.013,1.0,460.751,352.138,1.0,484.223,412.098,0.15700000524520874
52,399.467,169.12,1.0,403.209,228.49,0.968999981880188,450.041,298.773,1.0,460.751,352.114,1.0,484.223,412.098,0.02500000037252903
53,399.467,169.065,1.0,403.209,228.446,0.878000020980835,450.041,299.013,1.0,462.128,352.114,1.0,499.99199999999996,411.807,0.01
54,400.858,168.676,1.0,402.933,228.446,0.9980000257492065,450.041,299.013,1.0,460.977,352.114,1.0,515.875,411.749,0.11500000208616257
55,400.955,168.671,1.0,402.933,228.446,0.9850000143051147,450.041,298.487,1.0,462.559,352.037,1.0,515.875,411.665,0.052000001072883606
56,400.955,168.671,1.0,427.668,221.068,0.9160000085830688,450.271,296.916,1.0,462.559,354.85,1.0,515.875,411.665,0.17000000178813934
57,400.858,168.676,1.0,426.575,223.72,0.9900000095367432,450.96,296.666,1.0,460.977,355.081,1.0,515.566,411.749,0.04899999871850014
58,399.154,169.623,1.0,413.762,225.813,1.0,452.085,296.666,0.9990000128746033,460.977,355.081,0.9990000128746033,515.428,411.665,0.9120000004768372
59,398.526,170.825,1.0,413.762,225.813,0.9990000128746033,467.766,296.916,1.0,461.715,355.306,1.0,508.228,411.774,0.11999999731779099
