scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
50,400.074,169.12,1.0,403.512,228.49,0.9879999756813049,444.593,298.773,1.0,460.134,352.83,1.0,484.223,419.344,0.10100000351667404
51,398.814,169.065,1.0,403.209,228.578,0.9700000286102295,451.244,298.768,1.0,462.128,354.57,1.0,476.26,420.131,0.15700000524520874
52,398.692,169.605,1.0,402.8,228.507,0.968999981880188,450.547,299.013,1.0,460.751,352.114,1.0,484.109,412.098,0.02500000037252903
53,399.467,169.337,1.0,402.933,228.446,0.878000020980835,450.041,299.671,1.0,457.927,352.037,1.0,499.99199999999996,411.807,0.01
54,402.037,168.058,1.0,427.668,221.068,0.9980000257492065,448.878,298.487,1.0,462.559,351.621,1.0,515.875,411.516,0.11500000208616257
55,400.858,168.671,1.0,427.727,220.899,0.9850000143051147,449.064,299.376,1.0,462.967,355.709,1.0,515.991,411.749,0.052000001072883606
56,400.955,168.676,1.0,401.947,229.21,0.9160000085830688,450.271,296.666,1.0,460.977,354.85,1.0,515.951,411.653,0.17000000178813934
57,403.502,168.531,1.0,398.851,229.556,0.9900000095367432,450.96,296.916,1.0,463.972,351.325,1.0,515.566,411.665,0.04899999871850014
58,399.154,170.866,1.0,435.413,217.853,1.0,469.029,293.6,0.9990000128746033,460.497,355.306,0.9990000128746033,483.441,420.231,0.9120000004768372
59,396.002,172.911,1.0,426.575,223.72,0.9990000128746033,452.085,294.475,1.0,460.054,355.081,1.0,483.874,419.677,0.11999999731779099
60,398.526,169.623,1.0,413.762,225.813,0.9900000095367432,467.766,299.33,0.9990000128746033,461.715,356.971,1.0,515.428,411.258,0.19900000095367432
61,398.082,170.825,1.0,413.001,226.43,0.9300000071525574,468.97,308.235,0.6800000071525574,468.42,364.241,0.9879999756813049,508.228,411.774,0.06300000101327896
62,402.214,167.122,1.0,413.541,228.078,0.996999979019165,450.187,299.792,0.9980000257492065,465.951,357.386,0.9940000176429749,523.546,418.387,0.9879999756813049
63,405.962,166.328,1.0,400.513,229.518,0.9959999918937683,443.636,284.287,0.34299999475479126,475.797,361.356,0.7990000247955322,517.143,410.359,0.9509999752044678
64,405.64,167.742,1.0,443.583,214.391,0.9959999918937683,459.133,299.603,0.20200000703334808,469.115,362.111,0.9490000009536743,507.906,419.081,0.9860000014305115
65,403.701,166.572,1.0,402.368,228.473,0.9900000095367432,458.437,300.013,0.7129999995231628,466.722,357.028,0.953000009059906,499.988,420.056,0.5899999737739563
66,399.368,168.924,1.0,445.238,214.158,0.9959999918937683,452.063,292.288,0.9279999732971191,467.977,361.92,0.7289999723434448,490.208,422.296,0.9980000257492065
67,403.519,168.421,1.0,444.757,212.776,0.9610000252723694,443.464,300.042,0.9990000128746033,465.598,363.992,1.0,491.093,423.244,1.0
68,402.468,168.468,1.0,444.06,213.341,0.9909999966621399,444.12,298.654,0.9120000004768372,468.059,361.484,0.9100000262260437,508.476,419.406,0.9700000286102295
69,396.948,170.519,1.0,403.318,228.484,0.8790000081062317,451.002,299.309,0.9440000057220459,475.683,361.068,0.8220000267028809,492.464,426.302,0.9990000128746033
70,395.694,168.171,1.0,426.955,221.521,0.335999995470047,450.654,296.738,1.0,478.785,357.687,0.9539999961853027,499.657,421.483,0.9879999756813049
71,396.953,170.118,1.0,412.008,222.932,0.996999979019165,446.015,297.908,0.9990000128746033,477.222,357.613,0.781000018119812,515.357,418.919,0.921999990940094
72,396.932,168.918,1.0,436.119,220.685,0.9980000257492065,449.167,299.868,1.0,476.796,356.769,0.4909999966621399,516.397,419.629,0.7739999890327454
73,397.767,169.69,1.0,411.691,224.871,0.9990000128746033,450.588,299.823,0.8949999809265137,476.3,356.494,0.29600000381469727,515.994,419.865,0.44999998807907104
74,399.078,169.316,1.0,413.664,226.384,0.9990000128746033,445.615,298.262,0.9990000128746033,475.818,362.738,0.26899999380111694,499.693,420.515,0.33399999141693115
75,402.84,168.876,1.0,428.417,220.821,0.9729999899864197,450.636,299.446,0.9990000128746033,477.642,357.007,0.7080000042915344,524.409,412.984,0.859000027179718
