scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
15,4.90887317679451,0.9959999918937683,2.1336970254610756,0.9990000128746033,3.233206905867318,0.9990000128746033,0.8384354056916162,1.0,,,,,3.6770178466324555,1.0,1.389210346425404,1.0,2.0397548732330706,1.0,3.080954691639182,0.9980000257492065,4.429533315881025,0.9330000281333923,1.3540708447015966,0.9829999804496765,2.665871444829996,0.9909999966621399,2.195005260280574,0.9959999918937683,2.0672124506149947,0.9959999918937683
16,6.507097482922418,1.0,2.8664875550026636,0.9990000128746033,2.469765732999268,0.9990000128746033,,,,,,,2.5944817700170333,1.0,5.683821964349844,1.0,7.815793372109364,1.0,10.415596254965049,0.9980000257492065,17.029961270007153,0.9300000071525574,4.287223394696585,0.9890000224113464,2.0434321068628267,0.9919999837875366,5.351548716356949,0.996999979019165,2.1950578232958953,0.9959999918937683
17,2.4871080603084113,1.0,2.240047826809056,0.9990000128746033,1.413387299372158,0.9990000128746033,,,,,,,0.7735879273014167,1.0,0.7865630413927314,1.0,1.6843185141726131,1.0,1.0806136149374748,0.9990000128746033,2.438778344094819,0.9750000238418579,12.805371348554118,0.9739999771118164,5.570133513655676,0.9850000143051147,0.7816884066326953,0.9980000257492065,4.114304793763892,0.9950000047683716
18,1.2534280575955752,1.0,1.5779698218418796,1.0,1.7894822125798138,0.9990000128746033,,,,,,,1.7955620514534583,1.0,1.9012871309714126,1.0,2.705417947643228,1.0,2.7366801809478134,0.9990000128746033,3.3683446949372597,0.9900000095367432,1.0321180758242485,0.949999988079071,4.214134877514805,0.9850000143051147,1.250579524161483,0.9980000257492065,7.679032045407595,0.9940000176429749
19,1.6070570189600855,1.0,4.115304870472416,0.9990000128746033,4.47504952787107,0.9990000128746033,,,,,,,1.6763795583909085,1.0,5.238906275638574,1.0,1.662246749298486,1.0,5.105435654832756,0.9900000095367432,4.060635567867591,0.9850000143051147,3.667241995455514,0.9810000061988831,2.069892105203685,0.9860000014305115,0.3927602841005952,0.9990000128746033,3.630944678561545,0.9950000047683716
20,5.005101467446629,1.0,3.063609949421714,0.9990000128746033,3.233395948823202,0.9990000128746033,,,,,,,0.6226178410978734,1.0,1.703873548003751,1.0,1.6008398652729519,1.0,1.896905421829471,0.8790000081062317,3.1831135313286794,0.8130000233650208,8.886044622124501,0.8989999890327454,4.767793481872385,0.9929999709129333,2.2595044294716016,0.9940000176429749,5.199721520618191,0.9950000047683716
21,1.399961764754054,1.0,3.413652085761723,1.0,2.4925234416030984,0.9990000128746033,,,,,,,2.0340984073457857,1.0,1.1908559557742888,1.0,1.5680384778495182,1.0,1.285354658172073,0.9900000095367432,6.569257326773457,0.9079999923706055,10.110734591276403,0.925000011920929,3.0273809451336176,0.9900000095367432,7.108614334221054,0.9940000176429749,3.7520290162881356,0.9950000047683716
22,2.830006946005021,1.0,1.7779616461523102,1.0,2.7924385484631578,1.0,,,,,,,0.9101679700556948,1.0,2.8983512867259513,1.0,0.4053174768297604,1.0,1.385952090273166,0.9980000257492065,4.233648919227279,0.9079999923706055,4.887081659750558,0.9070000052452087,4.229956102648565,0.9919999837875366,2.9406875534074883,0.9890000224113464,2.2947231241839856,0.9950000047683716
23,1.4988150769398219,1.0,1.6866685828994492,1.0,1.5722258081753597,1.0,,,,,,,2.061921057689945,1.0,0.795354883768784,1.0,2.3421782918975826,1.0,1.705170696315958,0.9959999918937683,6.083993646958506,0.8510000109672546,1.1306408289122598,0.9039999842643738,2.43279129478084,0.9940000176429749,2.6073432920367665,0.9919999837875366,4.092320113151646,0.9959999918937683
24,1.5037422340289077,1.0,3.9686839382280206,1.0,1.4041825245945079,0.9990000128746033,,,,,,,2.794919902385415,1.0,1.6924642667779641,1.0,1.1680443224900614,1.0,1.1942333785451194,0.9950000047683716,9.13910702724714,0.8489999771118164,2.490868311310044,0.8809999823570251,6.342449219011699,0.9940000176429749,3.4972104720658708,0.9900000095367432,1.054143859188575,0.9950000047683716
