scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,4.197505951150037,1.0,,,2.3769774802209156,1.0,,,,,,,2.7401396480424793,1.0,4.1995158594895665,1.0,0.9698295314116013,1.0,3.9941169616673413,1.0,2.6861096131426434,1.0,3.382122323896024,1.0,5.114762481338515,0.9990000128746033,4.197715566798875,1.0,1.1100916520152602,1.0
1,4.116202902708941,1.0,,,2.306259921297838,1.0,,,,,,,4.829000413934633,1.0,11.100162511265458,1.0,2.564807062991992,1.0,7.947811617526573,1.0,8.944297567558054,1.0,3.6088265767955114,1.0,9.86387662480143,0.9990000128746033,5.649007013208136,1.0,2.8563648858701267,1.0
2,0.49371994869377633,1.0,2.757552929229934,1.0,3.090060104349779,1.0,,,,,,,1.2681197582192074,1.0,3.8246029716206036,1.0,2.3233640090419536,1.0,2.9020073609443253,1.0,5.532422041020201,1.0,3.854921533207462,1.0,3.918701629295374,0.9990000128746033,3.102244192621527,1.0,2.2686851098366128,1.0
3,1.8429134549861996,1.0,1.31148220647651,1.0,4.051458063260333,1.0,,,,,,,1.3022558697565594,1.0,3.845761125179595,1.0,1.4006293964904841,1.0,2.7264262392290664,1.0,4.299177010519942,1.0,1.0958028480387891,1.0,2.731211091316883,0.9990000128746033,5.654949769791733,1.0,3.022185662184969,1.0
4,4.258213657183224,1.0,2.24872150474867,1.0,5.240884274381404,1.0,,,,,,,1.1483968335624346,1.0,4.372114329811027,1.0,4.598973719221578,1.0,1.923108443919282,1.0,6.460569081067752,1.0,6.343629428203554,1.0,5.282646525804391,0.9990000128746033,1.203818276088699,1.0,2.5438832200813577,1.0
5,3.2271207951026266,1.0,,,3.3854837824533925,1.0,,,,,,,0.5354800400802391,1.0,2.836544142086073,1.0,1.4328762475735406,1.0,5.112222165585544,1.0,1.6444623480271958,1.0,5.228014577391301,1.0,3.0155356943635216,0.9990000128746033,2.019753868367605,1.0,2.98723440209158,1.0
6,1.8030901728154192,1.0,,,,,,,,,,,1.208778900677123,1.0,2.4909146748734465,1.0,1.993463966720825,1.0,3.9248616565594254,1.0,6.621111428571362,1.0,1.5424604588419573,1.0,2.7055410828184683,0.9980000257492065,1.4661967533991667,1.0,0.4278581189995707,1.0
7,4.093379718414096,1.0,,,,,,,,,,,5.349267915675561,1.0,4.819379016988888,1.0,2.051689597155193,1.0,5.437466301648534,1.0,4.978769653811656,1.0,2.1173038436085556,1.0,5.028367698709424,0.9980000257492065,2.537038241530345,1.0,1.444307061660836,1.0
8,2.6099531399996176,1.0,0.22156063696449502,1.0,,,,,,,,,0.7571888206248978,1.0,5.021067564272212,1.0,1.1295948986290554,1.0,2.106899374279325,1.0,4.217145710025181,1.0,4.935086566263249,1.0,0.8811316728015088,0.9990000128746033,4.55482009413394,1.0,0.42226242749651144,1.0
9,3.8183456682512014,1.0,2.3883941013835277,1.0,2.410743311948102,1.0,,,,,,,2.8214596859091894,1.0,3.611756791261364,1.0,2.4397617034529797,1.0,0.2903560625824617,1.0,4.427936400196568,1.0,1.9750398630261683,1.0,4.081873996617453,0.9990000128746033,1.6833978860933352,1.0,2.342356578704325,1.0
10,2.7043887401259994,1.0,0.9293945589739834,1.0,2.868630111975392,1.0,,,,,,,0.6189374257543002,1.0,4.291464945891723,1.0,2.218652561251264,1.0,5.608499552838803,1.0,2.949804510351114,1.0,4.878300978999965,1.0,3.534185131931191,0.9990000128746033,2.825410170563984,1.0,2.0750409004618495,1.0
11,1.1155893869169318,1.0,1.7757855981343487,1.0,5.421703835662911,1.0,,,,,,,1.8688767722844124,1.0,3.4540773149509345,1.0,0.9588315975740054,1.0,2.750533045993399,1.0,3.932763120979169,1.0,2.780894795964579,1.0,5.442724623510953,0.9990000128746033,3.129877288398012,1.0,2.8757536467902516,1.0
12,4.656064334599773,1.0,3.9129903288139216,1.0,7.375366205898881,1.0,,,,,,,0.27446436037826516,1.0,3.0999323582702227,1.0,4.2680277306972,1.0,4.032895194287591,1.0,4.816856991235231,1.0,6.530818079419481,1.0,2.4553732951467473,0.9990000128746033,4.5171507992300235,1.0,1.091167215073376,1.0
13,5.696278990882148,1.0,4.387240467370643,1.0,2.939983043291669,1.0,,,,,,,3.685811563163241,1.0,1.2656461837030275,1.0,0.7666331344367255,1.0,1.9228624417203801,1.0,3.763508553219781,1.0,3.665853424341492,1.0,2.785122123695527,0.9990000128746033,2.904060180488474,1.0,0.9885078619964967,1.0
14,6.162965047912442,1.0,4.122606612994554,1.0,0.4748601674281235,1.0,,,,,,,2.6219122445002583,1.0,2.9287820572469294,1.0,0.6536060698226411,1.0,1.8579839067033634,1.0,3.345246423823662,1.0,4.127366955396319,1.0,2.2163351351915304,0.9990000128746033,3.2065513856747803,1.0,1.0675475129077354,1.0
15,4.376617922492953,1.0,2.300564102969826,1.0,2.6950357855534373,1.0,,,,,,,1.302931697381777,1.0,6.003721150202965,1.0,2.9181080370511756,1.0,4.0019519793007445,1.0,4.594853952653293,1.0,2.612950426919956,1.0,3.387476067339618,0.9990000128746033,3.0918562078205047,1.0,0.7482661599858208,1.0
16,4.655125132383181,1.0,3.6818132492685676,1.0,3.09747629396475,1.0,,,,,,,0.4032036452725499,1.0,3.222269545877691,1.0,1.4137056436343747,1.0,5.467096541726008,1.0,1.565697377793208,1.0,2.5765103501487605,1.0,3.604046017990319,0.9990000128746033,1.665369000771228,1.0,0.4980459106067895,1.0
17,4.743697052726869,1.0,,,,,,,,,,,0.9520532517489504,1.0,6.046550429236297,1.0,0.8470687130659379,1.0,2.1363927357450527,1.0,2.6066062809636033,1.0,5.704002412154969,1.0,2.52620955261294,0.9990000128746033,4.66828432554026,1.0,0.948108639478154,1.0
18,1.9770152236478815,1.0,,,,,,,,,,,0.7387489448028256,1.0,2.6126913383523034,1.0,1.7124344454151903,1.0,2.168645946569302,1.0,5.858049585624667,1.0,5.9024174107946825,1.0,2.973451564290008,0.9990000128746033,2.1483617542686475,1.0,4.159985409865484,1.0
