Tool 1 :C:\Program Files (x86)\Northern Digital Inc\8700449.rom
Tool 2 :C:\Program Files (x86)\Northern Digital Inc\8700339.rom
YCB Object No.:506374
Frame No: TimeStamp--Tool 1, 2: Tx,Ty, Tz, Q0, Qx, Qy, Qz, *** Tx,Ty, Tz, Q0, Qx, Qy, Qz
Measurement Completed for 19/08/2022 at 4:13 PM.

Frame 238, 2022-08-19-16-11-47.926208, Both Rigid bodies out of volume?
Frame 241, 2022-08-19-16-11-47.976211, Both Rigid bodies out of volume?
Frame 244, 2022-08-19-16-11-48.025214, Both Rigid bodies out of volume?
Frame 247, 2022-08-19-16-11-48.076217, Both Rigid bodies out of volume?
Frame 250, 2022-08-19-16-11-48.125220, Both Rigid bodies out of volume?
Frame 253, 2022-08-19-16-11-48.176222, Both Rigid bodies out of volume?
Frame 256, 2022-08-19-16-11-48.225225, Both Rigid bodies out of volume?
Frame 259, 2022-08-19-16-11-48.275228, Both Rigid bodies out of volume?
Frame 262, 2022-08-19-16-11-48.326231, Both Rigid bodies out of volume?
Frame 265, 2022-08-19-16-11-48.375234, Both Rigid bodies out of volume?
Frame 268, 2022-08-19-16-11-48.425237, Both Rigid bodies out of volume?
Frame 271, 2022-08-19-16-11-48.476240, Both Rigid bodies out of volume?
Frame 274, 2022-08-19-16-11-48.527243, Both Rigid bodies out of volume?
Frame 277, 2022-08-19-16-11-48.577245, Both Rigid bodies out of volume?
Frame 280, 2022-08-19-16-11-48.626248, Both Rigid bodies out of volume?
Frame 283, 2022-08-19-16-11-48.677251, Both Rigid bodies out of volume?
Frame 286, 2022-08-19-16-11-48.726254, Both Rigid bodies out of volume?
Frame 289, 2022-08-19-16-11-48.776257, Both Rigid bodies out of volume?
Frame 292, 2022-08-19-16-11-48.827260, Both Rigid bodies out of volume?
Frame 295, 2022-08-19-16-11-48.876263, Both Rigid bodies out of volume?
Frame 298, 2022-08-19-16-11-48.926265, Both Rigid bodies out of volume?
Frame 301, 2022-08-19-16-11-48.975268, Both Rigid bodies out of volume?
Frame 304, 2022-08-19-16-11-49.026271, Both Rigid bodies out of volume?
Frame 307, 2022-08-19-16-11-49.075274, Both Rigid bodies out of volume?
Frame 310, 2022-08-19-16-11-49.125277, Both Rigid bodies out of volume?
Frame 313, 2022-08-19-16-11-49.176280, Both Rigid bodies out of volume?
Frame 316, 2022-08-19-16-11-49.225283, Both Rigid bodies out of volume?
Frame 319, 2022-08-19-16-11-49.275285, Both Rigid bodies out of volume?
Frame 322, 2022-08-19-16-11-49.326288, Both Rigid bodies out of volume?
Frame 325, 2022-08-19-16-11-49.377291, Both Rigid bodies out of volume?
Frame 328, 2022-08-19-16-11-49.426294, Both Rigid bodies out of volume?
Frame 331, 2022-08-19-16-11-49.476297, Both Rigid bodies out of volume?
Frame 334, 2022-08-19-16-11-49.527300, Both Rigid bodies out of volume?
Frame 337, 2022-08-19-16-11-49.576303, Both Rigid bodies out of volume?
Frame 340, 2022-08-19-16-11-49.627305, Both Rigid bodies out of volume?
Frame 343, 2022-08-19-16-11-49.676308, Both Rigid bodies out of volume?
Frame 346, 2022-08-19-16-11-49.726311, Both Rigid bodies out of volume?
Frame 349, 2022-08-19-16-11-49.776314, Both Rigid bodies out of volume?
Frame 352, 2022-08-19-16-11-49.825317, Both Rigid bodies out of volume?
Frame 355, 2022-08-19-16-11-49.876320, Both Rigid bodies out of volume?
Frame 358, 2022-08-19-16-11-49.925323, Both Rigid bodies out of volume?
Frame 361, 2022-08-19-16-11-49.975326, Both Rigid bodies out of volume?
Frame 364, 2022-08-19-16-11-50.026328, Both Rigid bodies out of volume?
Frame 367, 2022-08-19-16-11-50.077331, Both Rigid bodies out of volume?
Frame 370, 2022-08-19-16-11-50.126334, Both Rigid bodies out of volume?
Frame 373, 2022-08-19-16-11-50.177337, Both Rigid bodies out of volume?
Frame 376, 2022-08-19-16-11-50.227340, Both Rigid bodies out of volume?
Frame 379, 2022-08-19-16-11-50.276342, Both Rigid bodies out of volume?
Frame 382, 2022-08-19-16-11-50.327345, Both Rigid bodies out of volume?
Frame 385, 2022-08-19-16-11-50.377348, Both Rigid bodies out of volume?
Frame 388, 2022-08-19-16-11-50.426351, Both Rigid bodies out of volume?
Frame 391, 2022-08-19-16-11-50.477354, Both Rigid bodies out of volume?
Frame 394, 2022-08-19-16-11-50.527357, Both Rigid bodies out of volume?
Frame 397, 2022-08-19-16-11-50.576360, Both Rigid bodies out of volume?
Frame 400, 2022-08-19-16-11-50.627363, Both Rigid bodies out of volume?
Frame 403, 2022-08-19-16-11-50.676365, Both Rigid bodies out of volume?
Frame 406, 2022-08-19-16-11-50.726368, Both Rigid bodies out of volume?
Frame 409, 2022-08-19-16-11-50.775371, Both Rigid bodies out of volume?
Frame 412, 2022-08-19-16-11-50.826374, Both Rigid bodies out of volume?
Frame 415, 2022-08-19-16-11-50.876377, Both Rigid bodies out of volume?
Frame 418, 2022-08-19-16-11-50.925380, Both Rigid bodies out of volume?
Frame 421, 2022-08-19-16-11-50.976383, Both Rigid bodies out of volume?
Frame 424, 2022-08-19-16-11-51.026385, Both Rigid bodies out of volume?
Frame 427, 2022-08-19-16-11-51.075388, Both Rigid bodies out of volume?
Frame 430, 2022-08-19-16-11-51.126391, Both Rigid bodies out of volume?
Frame 433, 2022-08-19-16-11-51.175394, Both Rigid bodies out of volume?
Frame 436, 2022-08-19-16-11-51.225397, Tool  1, -66.542549, -230.174561, -1588.946533, 0.466585, 0.652534, -0.166667, 0.573342, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 439, 2022-08-19-16-11-51.309401, Both Rigid bodies out of volume?
Frame 442, 2022-08-19-16-11-51.358405, Tool  1, -69.427574, -210.585556, -1541.308716, 0.469448, 0.600033, -0.214141, 0.611329, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 448, 2022-08-19-16-11-51.442409, Tool  1, -66.102844, -200.203552, -1486.815674, 0.474383, 0.579163, -0.238828, 0.618461, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 454, 2022-08-19-16-11-51.525414, Tool  1, -59.566868, -194.581268, -1452.182617, 0.485701, 0.546830, -0.262749, 0.629313, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 457, 2022-08-19-16-11-51.610419, Tool  1, -55.519978, -193.440018, -1443.269653, 0.491847, 0.529176, -0.273652, 0.634961, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 463, 2022-08-19-16-11-51.692424, Tool  1, -47.950691, -194.777618, -1434.661987, 0.498764, 0.514317, -0.286098, 0.636287, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 469, 2022-08-19-16-11-51.775428, Tool  1, -43.690350, -195.772156, -1442.997070, 0.503440, 0.502149, -0.288417, 0.641258, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 472, 2022-08-19-16-11-51.859433, Tool  1, -42.152306, -194.488876, -1453.666504, 0.508228, 0.490634, -0.287828, 0.646636, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 478, 2022-08-19-16-11-51.941438, Tool  1, -37.953442, -187.344955, -1480.913086, 0.515971, 0.462312, -0.293238, 0.658828, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 484, 2022-08-19-16-11-52.025443, Tool  1, -34.658096, -175.534134, -1511.271362, 0.516352, 0.438879, -0.302092, 0.670452, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 487, 2022-08-19-16-11-52.111448, Tool  1, -32.596783, -168.873947, -1531.126831, 0.520325, 0.421390, -0.302718, 0.678274, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 493, 2022-08-19-16-11-52.192452, Tool  1, -33.061672, -158.813538, -1574.495850, 0.527097, 0.383596, -0.290414, 0.700488, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 499, 2022-08-19-16-11-52.276457, Tool  1, -35.277317, -154.834015, -1600.564941, 0.531658, 0.382784, -0.278690, 0.702246, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 502, 2022-08-19-16-11-52.360462, Tool  1, -36.024422, -155.698486, -1608.473633, 0.528379, 0.379288, -0.287118, 0.703221, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 508, 2022-08-19-16-11-52.442467, Tool  1, -37.509869, -163.954803, -1627.079346, 0.521893, 0.367513, -0.301843, 0.708134, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 514, 2022-08-19-16-11-52.525471, Tool  1, -38.235134, -178.842148, -1656.136230, 0.527946, 0.359245, -0.291231, 0.712321, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 517, 2022-08-19-16-11-52.610476, Tool  1, -37.752529, -186.833527, -1673.679199, 0.535339, 0.355412, -0.279265, 0.713517, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 523, 2022-08-19-16-11-52.692481, Tool  1, -36.319500, -200.070267, -1708.712891, 0.543682, 0.341050, -0.265310, 0.719518, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 529, 2022-08-19-16-11-52.774486, Tool  1, -37.668064, -208.439392, -1735.679077, 0.549705, 0.341801, -0.256086, 0.717926, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 532, 2022-08-19-16-11-52.860490, Tool  1, -39.814983, -211.247009, -1747.533447, 0.549185, 0.340576, -0.254291, 0.719542, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 538, 2022-08-19-16-11-52.941495, Tool  1, -45.939598, -215.815628, -1769.681763, 0.541591, 0.327201, -0.260611, 0.729179, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 544, 2022-08-19-16-11-53.025500, Tool  1, -53.396851, -220.474915, -1786.166870, 0.533177, 0.328719, -0.274202, 0.729712, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 547, 2022-08-19-16-11-53.109505, Tool  1, -56.599045, -222.836334, -1795.577393, 0.530127, 0.331099, -0.277995, 0.729424, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 553, 2022-08-19-16-11-53.191509, Tool  1, -61.910480, -227.199905, -1818.139282, 0.524045, 0.325704, -0.284262, 0.733819, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
