Tool 1 :C:\Program Files (x86)\Northern Digital Inc\8700449.rom
Tool 2 :C:\Program Files (x86)\Northern Digital Inc\8700339.rom
YCB Object No.:591074
Frame No: TimeStamp--Tool 1, 2: Tx,Ty, Tz, Q0, Qx, Qy, Qz, *** Tx,Ty, Tz, Q0, Qx, Qy, Qz
Measurement Completed for 17/08/2022 at 5:40 PM.

Frame 1, 2022-08-17-17-40-29.532992, Both Rigid bodies out of volume?
Frame 4, 2022-08-17-17-40-29.591995, Both Rigid bodies out of volume?
Frame 7, 2022-08-17-17-40-29.643999, Both Rigid bodies out of volume?
Frame 10, 2022-08-17-17-40-29.693001, Both Rigid bodies out of volume?
Frame 13, 2022-08-17-17-40-29.744004, Both Rigid bodies out of volume?
Frame 16, 2022-08-17-17-40-29.793007, Both Rigid bodies out of volume?
Frame 19, 2022-08-17-17-40-29.843010, Both Rigid bodies out of volume?
Frame 22, 2022-08-17-17-40-29.892013, Both Rigid bodies out of volume?
Frame 25, 2022-08-17-17-40-29.942016, Both Rigid bodies out of volume?
Frame 28, 2022-08-17-17-40-29.993018, Both Rigid bodies out of volume?
Frame 31, 2022-08-17-17-40-30.042021, Both Rigid bodies out of volume?
Frame 34, 2022-08-17-17-40-30.093024, Both Rigid bodies out of volume?
Frame 37, 2022-08-17-17-40-30.143027, Both Rigid bodies out of volume?
Frame 40, 2022-08-17-17-40-30.192030, Both Rigid bodies out of volume?
Frame 43, 2022-08-17-17-40-30.243032, Both Rigid bodies out of volume?
Frame 46, 2022-08-17-17-40-30.292036, Both Rigid bodies out of volume?
Frame 49, 2022-08-17-17-40-30.342038, Both Rigid bodies out of volume?
Frame 52, 2022-08-17-17-40-30.393041, Both Rigid bodies out of volume?
Frame 55, 2022-08-17-17-40-30.442044, Both Rigid bodies out of volume?
Frame 58, 2022-08-17-17-40-30.492047, Both Rigid bodies out of volume?
Frame 61, 2022-08-17-17-40-30.543050, Both Rigid bodies out of volume?
Frame 64, 2022-08-17-17-40-30.594053, Both Rigid bodies out of volume?
Frame 67, 2022-08-17-17-40-30.644056, Both Rigid bodies out of volume?
Frame 70, 2022-08-17-17-40-30.693058, Both Rigid bodies out of volume?
Frame 73, 2022-08-17-17-40-30.742061, Both Rigid bodies out of volume?
Frame 76, 2022-08-17-17-40-30.793064, Both Rigid bodies out of volume?
Frame 79, 2022-08-17-17-40-30.842067, Both Rigid bodies out of volume?
Frame 82, 2022-08-17-17-40-30.892070, Both Rigid bodies out of volume?
Frame 85, 2022-08-17-17-40-30.943073, Both Rigid bodies out of volume?
Frame 88, 2022-08-17-17-40-30.992075, Both Rigid bodies out of volume?
Frame 91, 2022-08-17-17-40-31.042078, Both Rigid bodies out of volume?
Frame 94, 2022-08-17-17-40-31.093081, Both Rigid bodies out of volume?
Frame 97, 2022-08-17-17-40-31.142084, Both Rigid bodies out of volume?
Frame 100, 2022-08-17-17-40-31.192087, Both Rigid bodies out of volume?
Frame 103, 2022-08-17-17-40-31.243090, Both Rigid bodies out of volume?
Frame 106, 2022-08-17-17-40-31.292093, Both Rigid bodies out of volume?
Frame 109, 2022-08-17-17-40-31.342095, Both Rigid bodies out of volume?
Frame 112, 2022-08-17-17-40-31.393098, Both Rigid bodies out of volume?
Frame 115, 2022-08-17-17-40-31.444101, Both Rigid bodies out of volume?
Frame 118, 2022-08-17-17-40-31.493104, Both Rigid bodies out of volume?
Frame 121, 2022-08-17-17-40-31.544107, Both Rigid bodies out of volume?
Frame 124, 2022-08-17-17-40-31.594110, Both Rigid bodies out of volume?
Frame 127, 2022-08-17-17-40-31.643113, Both Rigid bodies out of volume?
Frame 130, 2022-08-17-17-40-31.692115, Both Rigid bodies out of volume?
Frame 133, 2022-08-17-17-40-31.742118, Both Rigid bodies out of volume?
Frame 136, 2022-08-17-17-40-31.793121, Both Rigid bodies out of volume?
Frame 139, 2022-08-17-17-40-31.842124, Both Rigid bodies out of volume?
Frame 142, 2022-08-17-17-40-31.892127, Both Rigid bodies out of volume?
Frame 145, 2022-08-17-17-40-31.943130, Both Rigid bodies out of volume?
Frame 148, 2022-08-17-17-40-31.992133, Both Rigid bodies out of volume?
Frame 151, 2022-08-17-17-40-32.043136, Both Rigid bodies out of volume?
Frame 154, 2022-08-17-17-40-32.093139, Both Rigid bodies out of volume?
Frame 157, 2022-08-17-17-40-32.144141, Both Rigid bodies out of volume?
Frame 160, 2022-08-17-17-40-32.193144, Both Rigid bodies out of volume?
Frame 163, 2022-08-17-17-40-32.242147, Both Rigid bodies out of volume?
Frame 166, 2022-08-17-17-40-32.294150, Both Rigid bodies out of volume?
Frame 169, 2022-08-17-17-40-32.343153, Both Rigid bodies out of volume?
Frame 172, 2022-08-17-17-40-32.394155, Both Rigid bodies out of volume?
Frame 175, 2022-08-17-17-40-32.443159, Both Rigid bodies out of volume?
Frame 178, 2022-08-17-17-40-32.494162, Both Rigid bodies out of volume?
Frame 181, 2022-08-17-17-40-32.544164, Both Rigid bodies out of volume?
Frame 184, 2022-08-17-17-40-32.594167, Both Rigid bodies out of volume?
Frame 187, 2022-08-17-17-40-32.643170, Both Rigid bodies out of volume?
Frame 190, 2022-08-17-17-40-32.692173, Both Rigid bodies out of volume?
Frame 193, 2022-08-17-17-40-32.743175, Both Rigid bodies out of volume?
Frame 196, 2022-08-17-17-40-32.792179, Both Rigid bodies out of volume?
Frame 199, 2022-08-17-17-40-32.842181, Both Rigid bodies out of volume?
Frame 202, 2022-08-17-17-40-32.893184, Both Rigid bodies out of volume?
Frame 205, 2022-08-17-17-40-32.942187, Both Rigid bodies out of volume?
Frame 208, 2022-08-17-17-40-32.992190, Both Rigid bodies out of volume?
Frame 211, 2022-08-17-17-40-33.043193, Both Rigid bodies out of volume?
Frame 214, 2022-08-17-17-40-33.092195, Both Rigid bodies out of volume?
Frame 217, 2022-08-17-17-40-33.144198, Both Rigid bodies out of volume?
Frame 220, 2022-08-17-17-40-33.193202, Both Rigid bodies out of volume?
Frame 223, 2022-08-17-17-40-33.244204, Both Rigid bodies out of volume?
Frame 226, 2022-08-17-17-40-33.294207, Both Rigid bodies out of volume?
Frame 229, 2022-08-17-17-40-33.343210, Both Rigid bodies out of volume?
Frame 232, 2022-08-17-17-40-33.393213, Both Rigid bodies out of volume?
Frame 235, 2022-08-17-17-40-33.443216, Both Rigid bodies out of volume?
Frame 238, 2022-08-17-17-40-33.493218, Both Rigid bodies out of volume?
Frame 241, 2022-08-17-17-40-33.543221, Both Rigid bodies out of volume?
Frame 244, 2022-08-17-17-40-33.593225, Both Rigid bodies out of volume?
Frame 247, 2022-08-17-17-40-33.643227, Both Rigid bodies out of volume?
Frame 250, 2022-08-17-17-40-33.692230, Both Rigid bodies out of volume?
Frame 253, 2022-08-17-17-40-33.743233, Both Rigid bodies out of volume?
Frame 256, 2022-08-17-17-40-33.793236, Both Rigid bodies out of volume?
Frame 259, 2022-08-17-17-40-33.842238, Both Rigid bodies out of volume?
Frame 262, 2022-08-17-17-40-33.893241, Both Rigid bodies out of volume?
Frame 265, 2022-08-17-17-40-33.942244, Both Rigid bodies out of volume?
Frame 268, 2022-08-17-17-40-33.993247, Both Rigid bodies out of volume?
Frame 271, 2022-08-17-17-40-34.043250, Both Rigid bodies out of volume?
Frame 274, 2022-08-17-17-40-34.094253, Both Rigid bodies out of volume?
Frame 277, 2022-08-17-17-40-34.143256, Both Rigid bodies out of volume?
Frame 280, 2022-08-17-17-40-34.193259, Both Rigid bodies out of volume?
Frame 283, 2022-08-17-17-40-34.244262, Both Rigid bodies out of volume?
Frame 286, 2022-08-17-17-40-34.293264, Both Rigid bodies out of volume?
Frame 289, 2022-08-17-17-40-34.343267, Both Rigid bodies out of volume?
Frame 292, 2022-08-17-17-40-34.393270, Both Rigid bodies out of volume?
Frame 295, 2022-08-17-17-40-34.443273, Both Rigid bodies out of volume?
Frame 298, 2022-08-17-17-40-34.493276, Both Rigid bodies out of volume?
Frame 301, 2022-08-17-17-40-34.543279, Both Rigid bodies out of volume?
Frame 304, 2022-08-17-17-40-34.593282, Both Rigid bodies out of volume?
Frame 307, 2022-08-17-17-40-34.642284, Both Rigid bodies out of volume?
Frame 310, 2022-08-17-17-40-34.693287, Both Rigid bodies out of volume?
Frame 313, 2022-08-17-17-40-34.743290, Both Rigid bodies out of volume?
Frame 316, 2022-08-17-17-40-34.792293, Both Rigid bodies out of volume?
Frame 319, 2022-08-17-17-40-34.843296, Both Rigid bodies out of volume?
Frame 322, 2022-08-17-17-40-34.893299, Both Rigid bodies out of volume?
Frame 325, 2022-08-17-17-40-34.942301, Both Rigid bodies out of volume?
Frame 328, 2022-08-17-17-40-34.993304, Both Rigid bodies out of volume?
Frame 331, 2022-08-17-17-40-35.043307, Both Rigid bodies out of volume?
Frame 334, 2022-08-17-17-40-35.094310, Both Rigid bodies out of volume?
Frame 337, 2022-08-17-17-40-35.143313, Both Rigid bodies out of volume?
Frame 340, 2022-08-17-17-40-35.194316, Both Rigid bodies out of volume?
Frame 343, 2022-08-17-17-40-35.243319, Both Rigid bodies out of volume?
Frame 346, 2022-08-17-17-40-35.293322, Both Rigid bodies out of volume?
Frame 349, 2022-08-17-17-40-35.343325, Both Rigid bodies out of volume?
Frame 352, 2022-08-17-17-40-35.393327, Both Rigid bodies out of volume?
Frame 355, 2022-08-17-17-40-35.443330, Both Rigid bodies out of volume?
Frame 358, 2022-08-17-17-40-35.492333, Both Rigid bodies out of volume?
Frame 361, 2022-08-17-17-40-35.543336, Both Rigid bodies out of volume?
Frame 364, 2022-08-17-17-40-35.593338, Both Rigid bodies out of volume?
Frame 367, 2022-08-17-17-40-35.642342, Both Rigid bodies out of volume?
Frame 370, 2022-08-17-17-40-35.693345, Both Rigid bodies out of volume?
Frame 373, 2022-08-17-17-40-35.743347, Both Rigid bodies out of volume?
Frame 376, 2022-08-17-17-40-35.792350, Both Rigid bodies out of volume?
Frame 379, 2022-08-17-17-40-35.843353, Both Rigid bodies out of volume?
Frame 382, 2022-08-17-17-40-35.894356, Both Rigid bodies out of volume?
Frame 385, 2022-08-17-17-40-35.943359, Both Rigid bodies out of volume?
Frame 388, 2022-08-17-17-40-35.993361, Both Rigid bodies out of volume?
Frame 391, 2022-08-17-17-40-36.044364, Both Rigid bodies out of volume?
Frame 394, 2022-08-17-17-40-36.093367, Both Rigid bodies out of volume?
Frame 397, 2022-08-17-17-40-36.143370, Tool  1, -153.153168, -143.031525, -1585.362549, 0.437678, 0.466907, -0.299156, 0.707773, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 400, 2022-08-17-17-40-36.227375, Tool  1, -154.044739, -147.789841, -1585.264404, 0.436343, 0.464188, -0.298926, 0.710478, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 406, 2022-08-17-17-40-36.308380, Tool  1, -155.153992, -154.994476, -1590.433472, 0.436272, 0.450000, -0.298049, 0.719954, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 412, 2022-08-17-17-40-36.392385, Tool  1, -154.836700, -159.822937, -1595.164917, 0.439763, 0.444755, -0.293733, 0.722858, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 415, 2022-08-17-17-40-36.477389, Tool  1, -154.283188, -161.139374, -1597.228027, 0.441396, 0.444282, -0.292435, 0.722680, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 421, 2022-08-17-17-40-36.559394, Tool  1, -153.671692, -161.874847, -1604.238403, 0.444263, 0.437456, -0.289315, 0.726334, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 427, 2022-08-17-17-40-36.641398, Tool  1, -152.831177, -161.165421, -1612.889404, 0.448417, 0.434532, -0.283496, 0.727829, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 430, 2022-08-17-17-40-36.726404, Tool  1, -152.263428, -160.684860, -1616.321655, 0.450630, 0.438358, -0.278901, 0.725940, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 436, 2022-08-17-17-40-36.808408, Tool  1, -145.965820, -159.538895, -1621.222046, 0.461836, 0.451522, -0.271255, 0.713622, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 442, 2022-08-17-17-40-36.892413, Tool  1, -137.870621, -161.832794, -1624.433716, 0.474468, 0.473306, -0.259910, 0.695204, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 445, 2022-08-17-17-40-36.976418, Tool  1, -134.246170, -164.585800, -1624.830322, 0.479019, 0.485371, -0.254465, 0.685715, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 451, 2022-08-17-17-40-37.058423, Tool  1, -129.975952, -169.924164, -1628.442139, 0.481915, 0.488413, -0.254436, 0.681524, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 457, 2022-08-17-17-40-37.142427, Tool  1, -130.677567, -173.753418, -1634.089233, 0.479525, 0.468150, -0.262100, 0.694404, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 460, 2022-08-17-17-40-37.226432, Tool  1, -132.466827, -175.474197, -1635.446533, 0.477462, 0.461612, -0.264771, 0.699172, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 466, 2022-08-17-17-40-37.307437, Tool  1, -137.511398, -178.746689, -1636.104858, 0.473452, 0.454386, -0.266976, 0.705763, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 472, 2022-08-17-17-40-37.391441, Tool  1, -143.275909, -181.086121, -1640.082397, 0.469062, 0.434927, -0.271060, 0.719268, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 475, 2022-08-17-17-40-37.477447, Tool  1, -145.867355, -181.705460, -1643.385254, 0.466472, 0.420503, -0.273748, 0.728453, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 481, 2022-08-17-17-40-37.559451, Tool  1, -149.566422, -182.082794, -1649.915405, 0.463354, 0.396606, -0.275581, 0.743009, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 487, 2022-08-17-17-40-37.641456, Tool  1, -152.517410, -181.785095, -1658.458374, 0.465201, 0.378645, -0.267282, 0.754173, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 490, 2022-08-17-17-40-37.726461, Tool  1, -153.494385, -181.421585, -1665.521973, 0.465393, 0.362326, -0.264481, 0.763007, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 496, 2022-08-17-17-40-37.808465, Tool  1, -153.564133, -181.056503, -1685.482788, 0.466528, 0.316767, -0.257518, 0.784663, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 502, 2022-08-17-17-40-37.892470, Tool  1, -153.521118, -181.396988, -1702.885742, 0.468223, 0.286197, -0.246070, 0.798942, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 505, 2022-08-17-17-40-37.976475, Tool  1, -153.377335, -181.363251, -1709.602905, 0.469518, 0.277570, -0.240914, 0.802788, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 511, 2022-08-17-17-40-38.058480, Tool  1, -150.934036, -181.196732, -1723.977661, 0.471844, 0.252331, -0.234417, 0.811629, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 517, 2022-08-17-17-40-38.142485, Tool  1, -147.031235, -181.103668, -1737.190308, 0.476415, 0.227667, -0.226834, 0.818379, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 520, 2022-08-17-17-40-38.227489, Tool  1, -145.540604, -181.041992, -1742.335083, 0.480148, 0.221718, -0.221343, 0.819334, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 526, 2022-08-17-17-40-38.308494, Tool  1, -146.195343, -180.628754, -1747.973877, 0.491010, 0.234678, -0.202428, 0.814162, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 532, 2022-08-17-17-40-38.392499, Tool  1, -151.972977, -177.944397, -1741.199097, 0.500925, 0.292973, -0.179231, 0.794429, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
Frame 535, 2022-08-17-17-40-38.477504, Tool  1, -154.711304, -176.705841, -1737.399780, 0.499981, 0.316098, -0.171797, 0.787774, Tool 2, 0.000000, 0.000000, 0.000000,  0.000000, 0.000000, 0.000000, 0.000000
