,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,50000,95,1,5.09,6.76,0.6,4.79,6.51
1,1000,95,1,166.91,173.14,0.6,10.09,7.02
