scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
7,1899.243,76.324,0.9869999885559082,1863.778,54.505,1.0,1859.867,12.283,0.024000000208616257,1120.477,402.101,1.0,1126.872,434.635,1.0,1130.573,471.447,1.0,1131.99,339.817,1.0,1123.932,382.989,1.0,1124.263,428.836,1.0,684.025,522.096,1.0,687.053,575.313,1.0,694.075,624.053,1.0,1816.81,463.371,1.0,1785.202,526.635,1.0,1754.45,590.505,1.0,1721.294,645.653,1.0,1688.219,709.869,1.0
8,1899.325,76.327,0.9919999837875366,1864.159,54.348,1.0,1859.819,12.392,0.02800000086426735,1120.567,401.82,1.0,1127.021,434.498,1.0,1124.094,470.515,1.0,1132.018,340.125,1.0,1124.465,383.146,1.0,1124.444,428.531,1.0,683.763,522.543,1.0,687.354,575.45,1.0,693.977,624.474,1.0,1817.486,463.374,1.0,1783.166,529.188,1.0,1752.416,592.311,1.0,1720.752,646.518,1.0,1688.102,710.127,1.0
9,1900.387,75.6,0.9850000143051147,1864.627,52.293,1.0,1852.208,11.739,0.028999999165534973,1123.013,396.601,1.0,1126.954,435.391,1.0,1130.486,472.065,1.0,1131.648,340.223,1.0,1124.461,382.989,1.0,1124.059,428.492,1.0,682.939,523.054,1.0,687.312,576.102,1.0,693.788,624.708,1.0,1816.08,463.066,1.0,1783.597,526.292,1.0,1754.038,589.927,1.0,1723.331,644.944,1.0,1686.572,710.015,1.0
10,1900.065,75.882,0.984000027179718,1863.406,52.536,1.0,1851.894,4.195,0.0689999982714653,1120.931,401.328,1.0,1126.952,435.593,1.0,1123.726,470.646,1.0,1131.603,339.795,1.0,1124.006,382.849,1.0,1123.278,428.735,1.0,682.729,523.407,1.0,687.056,575.291,1.0,694.044,624.786,1.0,1817.781,462.824,1.0,1783.555,526.267,1.0,1753.185,592.017,1.0,1722.347,644.03,1.0,1687.306,709.968,1.0
11,1899.699,77.121,0.972000002861023,1863.319,52.31,1.0,1851.96,4.115,0.041999999433755875,1121.516,401.167,1.0,1128.856,434.455,1.0,1131.361,471.739,1.0,1131.695,339.654,1.0,1124.469,383.402,1.0,1123.187,428.635,1.0,682.727,523.398,1.0,687.383,575.602,1.0,694.077,624.198,1.0,1817.392,463.378,1.0,1783.727,528.703,1.0,1753.642,591.177,1.0,1724.056,646.839,1.0,1683.957,710.053,1.0
12,1899.52,76.199,0.9940000176429749,1867.248,52.858,0.9990000128746033,1852.907,35.773,0.3869999945163727,1124.76,398.109,1.0,1131.029,437.145,1.0,1131.794,473.145,1.0,1131.501,340.337,1.0,1123.993,382.822,1.0,1123.561,428.722,1.0,680.72,524.804,1.0,687.952,575.335,1.0,693.227,623.698,1.0,1816.389,464.678,1.0,1782.888,528.262,1.0,1751.546,591.358,1.0,1721.057,644.588,1.0,1686.051,712.31,1.0
13,1900.514,75.206,0.9879999756813049,1866.507,53.521,0.9990000128746033,1853.121,36.877,0.5059999823570251,1124.566,398.147,1.0,1127.62,436.937,1.0,1122.036,470.601,1.0,1130.937,340.245,1.0,1123.73,382.97,1.0,1123.647,428.611,1.0,682.841,522.849,1.0,688.026,575.194,1.0,692.855,623.958,1.0,1816.684,464.434,1.0,1781.042,528.278,1.0,1752.121,591.839,1.0,1725.056,648.083,1.0,1681.613,712.252,1.0
14,1900.195,75.542,0.9879999756813049,1865.775,54.131,0.9990000128746033,1854.188,42.996,0.42800000309944153,1124.66,399.405,1.0,1126.119,436.651,1.0,1120.581,471.603,1.0,1131.43,339.78,1.0,1124.02,383.235,1.0,1123.717,429.069,1.0,680.363,524.775,1.0,686.209,576.411,1.0,692.717,624.06,1.0,1815.735,464.933,1.0,1782.776,528.709,1.0,1749.583,585.408,1.0,1720.828,644.366,1.0,1685.257,709.585,1.0
15,1899.917,75.273,0.9919999837875366,1865.822,54.913,0.9990000128746033,1853.054,36.245,0.11599999666213989,1124.892,399.331,1.0,1128.437,436.141,1.0,1121.986,470.815,1.0,1131.106,339.739,1.0,1124.982,384.099,1.0,1123.268,429.346,1.0,680.255,524.833,1.0,686.239,576.194,1.0,692.851,623.848,1.0,1816.55,463.898,1.0,1783.253,527.702,1.0,1751.023,587.414,1.0,1722.93,642.922,1.0,1687.819,713.334,1.0
16,1899.667,76.402,0.9919999837875366,1866.303,54.287,0.9980000257492065,1852.908,36.103,0.2240000069141388,1123.904,399.58,1.0,1127.685,436.263,1.0,1123.13,470.826,1.0,1131.707,339.96,1.0,1124.46,384.709,1.0,1123.207,428.62,1.0,682.722,521.846,1.0,686.446,576.29,1.0,693.333,623.688,1.0,1817.243,464.612,1.0,1783.803,526.328,1.0,1752.935,589.049,1.0,1719.93,644.066,1.0,1688.155,709.598,1.0
