scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1901.351,76.865,0.9940000176429749,1866.559,55.3,1.0,1852.965,12.362,0.968999981880188,960.046,640.772,1.0,967.472,677.353,1.0,971.109,710.173,1.0,940.476,580.571,1.0,960.302,624.664,1.0,,,1.0,1327.553,347.89,1.0,1329.851,387.704,1.0,1329.006,411.723,1.0,1842.891,446.717,1.0,1817.154,516.037,1.0,1784.716,579.471,1.0,1746.434,636.88,1.0,1710.907,699.587,1.0
1,1901.078,75.759,0.9959999918937683,1866.032,54.09,1.0,1852.503,12.447,0.8169999718666077,958.894,639.979,1.0,967.155,678.932,1.0,971.907,710.852,1.0,939.734,580.639,1.0,960.062,622.908,1.0,,,1.0,1327.503,346.835,1.0,1328.559,385.817,1.0,1330.314,411.955,1.0,1843.927,447.893,1.0,1816.626,515.754,1.0,1783.068,580.502,1.0,1745.657,638.076,1.0,1713.078,698.251,1.0
2,1900.398,74.893,0.996999979019165,1865.044,54.018,1.0,1852.522,11.109,0.8799999952316284,959.608,639.88,1.0,967.793,679.547,1.0,972.476,710.807,1.0,939.221,581.753,1.0,959.092,622.073,1.0,,,1.0,1327.415,347.917,1.0,1328.829,386.599,1.0,1339.845,411.474,1.0,1844.451,448.982,1.0,1816.459,513.699,1.0,1783.075,577.264,1.0,1748.119,634.88,1.0,1714.089,698.722,1.0
3,1900.016,76.233,0.9959999918937683,1864.558,53.144,1.0,1852.484,10.147,0.9789999723434448,959.598,638.735,1.0,968.23,680.442,1.0,973.847,711.397,1.0,939.482,581.254,1.0,958.962,621.1,1.0,,,1.0,1327.418,347.35,1.0,1325.203,382.897,1.0,1330.746,412.226,1.0,1844.279,447.902,1.0,1816.466,512.835,1.0,1782.769,576.321,1.0,1748.618,633.633,1.0,1714.452,698.844,1.0
4,1900.266,75.294,0.996999979019165,1864.187,51.788,1.0,1851.741,7.933,0.9869999885559082,959.501,638.73,1.0,968.285,679.955,1.0,974.455,711.141,1.0,940.38,580.091,1.0,958.659,620.108,1.0,,,1.0,1327.71,347.316,1.0,1326.236,383.873,1.0,1330.251,412.592,1.0,1844.31,448.249,1.0,1817.708,512.617,1.0,1782.905,577.867,1.0,1749.038,635.081,1.0,1711.839,697.803,1.0
5,1900.365,75.31,0.9959999918937683,1863.872,51.39,1.0,1853.042,8.518,0.984000027179718,959.791,639.102,1.0,967.412,679.541,1.0,973.573,710.395,1.0,939.227,580.094,1.0,959.165,619.867,1.0,,,1.0,1327.906,346.327,1.0,1326.211,384.373,1.0,1330.762,412.431,1.0,1843.974,448.668,1.0,1816.223,515.225,1.0,1781.026,579.482,1.0,1749.245,634.733,1.0,1711.189,697.372,1.0
6,1900.335,75.875,0.9950000047683716,1865.025,51.401,1.0,1852.446,9.015,0.9950000047683716,960.195,639.523,1.0,966.948,679.574,1.0,973.765,710.946,1.0,939.044,580.456,1.0,959.33,619.98,1.0,,,1.0,1327.848,346.145,1.0,1325.633,384.454,1.0,1330.27,412.963,1.0,1842.585,448.203,1.0,1815.714,515.107,1.0,1782.526,580.196,1.0,1749.824,635.053,1.0,1713.033,697.521,1.0
