individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,cup,cup,cup,cup,cup,cup,tap,tap,tap,tap,tap,tap,time_stamp
pose,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,
0,435.01363311913417,22.65104134934079,744.4663905100604,0.00405998889140734,0.7140240649386512,0.7001093851525535,282.2208207309218,-124.24196943503145,1073.756515536093,-0.17945839327769086,0.6385080743963991,-0.7483997087204084,0.0,53.97543866596025,899.5906444326707,0.33952101705930104,0.7786096685924574,0.5277238510332477,3.5358239248764334,86.6442824355049,898.010186244441,0.15367902435849623,0.984221506905414,0.08769710837340561,386.0744835055632,-206.6734266006602,596.5830870946893,-0.5568271360061483,0.24827840430403614,-0.7926546376344695,0.0
1,444.5149678540499,21.604615691569858,756.1615492049451,-0.08067730247612695,0.7750136488250494,0.6267734973657219,282.1008639655348,-124.48109496942874,1071.8991373628219,-0.176623651055979,0.6201846739761635,-0.7643134540571268,0.0,52.66146391485865,899.0981644000258,0.3587865846154702,0.7501109426708125,0.5555229611685472,2.9019848240048587,86.5332163136341,900.2429988817757,0.17850770026817855,0.9809466874307853,0.0766720116048584,386.9062614792746,-207.54574291272343,597.8683952218371,-0.6190928801965431,0.18909646461981874,-0.7622116062867546,0.03333333333333333
2,436.7158429364738,19.633640569440495,742.8945080328837,0.013710533570537014,0.715002378897642,0.6989875674430299,285.58286121933156,-124.121138860326,1072.448438153216,-0.10235900221983829,0.6328703018591192,-0.7674619311010199,-0.6414597878444441,52.599702603244424,898.0437029822219,0.3548902980486653,0.7601965694480886,0.5442003786752515,3.5393686577893617,86.44293572835308,899.4463812015932,0.17913255195092176,0.9823531704016578,0.05379384196506068,385.3294116132977,-206.92828071167145,596.0896975233335,-0.6835544858640202,0.12470320595801264,-0.7191678352644594,0.06666666666666667
3,439.3133163173503,22.92603683283572,755.7281812515753,0.00040687986158677444,0.7550333416720029,0.6556862720938932,281.6242183725143,-123.42198027223023,1070.0735118704333,-0.16772002692370538,0.6545740438209499,-0.7371586082551034,-1.2833063094971748,51.97390553463558,898.3144166480224,0.3464673026327234,0.7626487293527676,0.5461934857017373,3.8703982800206296,86.62218792360969,901.2042761831431,0.1870092111207364,0.980065062557351,0.0670822488476302,407.6682247634201,-220.5704760746631,622.5789918440719,-0.7469682220335353,-0.2586086970858045,-0.6125030751462739,0.1
4,435.7371604751555,23.176881402342005,751.4600224107915,0.02070526145727781,0.7272165727996664,0.6860957283014472,280.62376781979344,-122.93881477503827,1066.264463192943,-0.16226099441596256,0.6744733195701211,-0.7202479509718888,-1.2828164378988942,51.31265751595577,897.9715065292261,0.3337658865589093,0.7741447076323366,0.5378664375236566,4.2045748971287304,86.72786916262412,901.8650018979588,0.19760028442587746,0.9713540010979155,0.1320058034553153,415.69454724322907,-225.4464320065499,634.7932199204744,-0.700226862679521,-0.07430488591835484,-0.7100430442660892,0.13333333333333333
5,436.7957517016642,23.127375946469883,753.6042620129103,0.015412984908174044,0.7340548737393467,0.6789152246309785,280.98505426823255,-123.57733467795123,1067.6521456229675,-0.1714373043402931,0.6419459955798349,-0.7473383366585367,-0.6414946034242032,50.67807367051205,898.0924447938845,0.3952000076310076,0.7970446488137465,0.4566582767954864,3.871996071022256,86.5564515578995,900.2265209850501,0.19047158981298337,0.9746739047700503,0.11718085523846275,472.1599974064827,-253.05537898230614,718.331486930675,-0.5975085709224562,0.1610073380327102,-0.7855317592394496,0.16666666666666666
6,439.6154580846185,20.73538055607049,753.2458112711091,0.10069266656394746,0.6751915342930612,0.7307375581692949,281.78180468545935,-123.94823561173965,1070.6830084867663,-0.17354652929332723,0.6337607051419055,-0.753809638296218,-0.6420784898055439,50.72420069463797,898.9098857277617,0.37230969897076244,0.7570483297726933,0.5369015872957312,4.199720236310512,86.68343868296373,901.4657284698329,0.17694140612314957,0.9755765856084916,0.13016168565150088,386.3011475283705,-208.730675294335,597.5929354030042,-0.6007948550947071,0.20119895150093695,-0.773669518597349,0.2
7,441.0203909474438,19.944742931818077,752.049408631635,0.03974699856974499,0.6899302036458157,0.7227838474965667,280.5407263490398,-124.0367096059346,1068.7703227248921,-0.18428721129588363,0.652205839912519,-0.7352997797747474,-0.641585007424351,51.96838560137243,898.2190103940915,0.3879164271356084,0.7689785278930984,0.50812682393051,3.8658285499988,86.79128240675313,899.4743603103445,0.1887890479813782,0.9777322119028825,0.09164287844552764,526.9242456655405,-284.1315269445124,815.1314297588473,-0.46988732154024687,0.3257153906878041,-0.8204360970391441,0.23333333333333334
8,437.7002809666028,21.858357514775538,746.3829395289208,0.07110979499926247,0.6819921565751069,0.727894288633451,281.49987418384615,-123.63399023684698,1071.0228011795377,-0.18611130296539136,0.6112323373691405,-0.7692578323701239,-1.2835370168978204,51.983249184361725,898.4759118284743,0.3757797436963182,0.7817719217470304,0.4976165658370756,4.188606559376584,86.20339849276687,900.0708880558848,0.1759215183556394,0.9804807074126999,0.08780206017479332,406.1936140863037,-220.3348361327114,620.5909907159164,-0.7611352899404273,-0.5052958244696472,-0.4066315287589508,0.26666666666666666
9,441.6895508650849,22.595567766545145,753.1855922181716,0.049943056280481735,0.7021284948102499,0.7102966055844964,280.7318307024809,-122.71257267107262,1066.6914222058685,-0.17238814717378606,0.6381854056436008,-0.7503344019418954,-0.6417022491213192,51.97788217882686,898.383148769847,0.38681989628994845,0.8007537730960742,0.4573442496704584,4.842659779901203,86.96533371973034,901.0989241079433,0.20083281613921097,0.9723972700956437,0.11878438058993122,390.4753123368337,-212.7404623192404,596.5848195788006,-0.42777996710233984,-0.8717868838059745,0.2387298242151354,0.3
10,435.7262757733139,23.578109708635715,752.1810595877232,0.006153442338360492,0.7421222223697032,0.6702363331038101,281.81200165996273,-123.51969702434009,1070.789673346928,-0.16947671867046948,0.6479754105714342,-0.7425668381522783,-0.641800704826766,52.62765779579481,898.5209867574724,0.37947926751516325,0.7715099835103534,0.5106543164118067,4.831422329686695,86.79192527489649,899.2639252433721,0.17482243234958075,0.976606128496796,0.12521017103205295,399.36746745957464,-217.28464255205628,610.5769535336378,-0.7273907405300584,-0.6288640824755108,-0.2746500980581787,0.3333333333333333
11,436.1444964719342,22.997572218138096,751.3815026220816,0.014256809797442573,0.7429461398918193,0.6691993548967637,281.057302481702,-122.53125938088687,1066.495273536175,-0.14833786309948466,0.6909910640487383,-0.7074794892969485,-0.641891105080059,52.635070616564846,898.6475471120827,0.38826573862324915,0.7699064628168854,0.5064521248095765,5.145872956136191,86.69951106492115,898.3549398012533,0.16633679279240549,0.9781614294773667,0.12462860524907927,390.41396886012944,-212.39125164682588,596.8106073179547,-0.42440162268361026,-0.8751690903953891,0.2322979248293572,0.36666666666666664
12,438.0104532238262,23.507799490949296,754.6219383888108,0.03345936786730625,0.7189628606813864,0.6942426633841786,282.0638783491697,-123.58126497086674,1074.5750536758792,-0.18876797179660362,0.6320051287573248,-0.7516223586670596,-0.6422023240042659,52.01838824434554,899.0832536059723,0.365610847137967,0.7305543129871016,0.5767313969526908,4.506703625607482,89.49025770849143,901.3407251214965,0.22636782551568976,0.9694478761107874,0.09449033323881116,401.78559885311466,-217.33756398138613,622.234334507036,0.5497440477282127,-0.25429237823109535,0.7956864133318944,0.4
