scorer,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_tapJan29shuffle1_50000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_cupJan29shuffle1_150000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_teabagJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_200000
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1900.315,76.486,0.9919999837875366,1867.212,52.502,1.0,1852.398,36.206,0.14100000262260437,663.9,647.047,1.0,692.751,671.746,1.0,700.198,713.07,1.0,679.67,565.7,1.0,686.227,613.253,1.0,694.208,657.512,1.0,1033.665,818.668,1.0,1036.426,866.223,1.0,1032.456,926.034,1.0,1854.269,456.643,1.0,1831.61,525.437,1.0,1798.227,592.033,0.9900000095367432,1754.23,650.57,1.0,1720.869,708.512,1.0
1,1899.428,76.829,0.9940000176429749,1866.098,53.286,0.9990000128746033,1853.778,43.754,0.11900000274181366,664.753,647.201,1.0,693.494,672.865,1.0,697.946,711.828,1.0,681.766,566.189,1.0,686.468,620.799,1.0,700.749,658.437,1.0,1033.799,818.967,1.0,1034.839,866.307,1.0,1031.09,925.589,1.0,1856.999,455.014,1.0,1833.064,524.53,1.0,1800.669,589.108,1.0,1756.96,646.316,1.0,1719.66,707.275,1.0
2,1899.017,77.65,0.9959999918937683,1865.555,55.26,1.0,1851.541,35.599,0.05000000074505806,665.567,647.078,1.0,696.053,671.917,1.0,698.109,712.392,1.0,682.297,566.068,1.0,687.884,613.017,1.0,700.382,657.503,1.0,1032.321,819.064,1.0,1033.499,865.859,1.0,1030.104,925.308,1.0,1855.964,457.165,1.0,1832.671,522.548,1.0,1800.283,588.704,0.9919999837875366,1757.296,641.975,1.0,1716.764,706.878,1.0
3,1899.619,77.486,0.9940000176429749,1866.724,53.881,0.9990000128746033,1854.381,43.132,0.44699999690055847,668.741,648.508,1.0,696.151,671.104,1.0,699.709,714.843,1.0,682.226,565.102,1.0,688.545,611.461,1.0,691.73,657.096,1.0,1032.782,818.794,1.0,1034.336,867.298,1.0,1030.395,925.483,1.0,1854.652,456.654,1.0,1831.98,525.356,1.0,1798.442,589.806,0.9869999885559082,1757.194,645.172,1.0,1721.178,707.12,1.0
4,1899.532,76.832,0.9940000176429749,1866.02,52.22,0.9990000128746033,1851.892,35.822,0.029999999329447746,669.764,649.018,1.0,696.27,670.534,1.0,698.292,713.037,1.0,682.899,564.542,1.0,688.858,611.772,1.0,694.082,657.122,1.0,1030.774,817.831,1.0,1033.333,866.264,1.0,1030.401,925.976,1.0,1854.62,457.353,1.0,1833.318,522.529,1.0,1798.396,589.248,1.0,1758.849,645.657,1.0,1722.346,706.324,1.0
5,1899.913,76.551,0.9950000047683716,1864.807,53.853,1.0,1859.709,12.351,0.014000000432133675,670.887,649.718,1.0,696.856,672.056,1.0,699.652,715.101,1.0,682.857,564.482,1.0,689.142,611.832,1.0,693.021,656.983,1.0,1032.653,818.719,1.0,1034.143,866.389,1.0,1030.538,926.185,1.0,1854.805,457.556,1.0,1832.393,523.657,1.0,1797.446,589.755,1.0,1756.423,645.037,1.0,1724.795,706.274,1.0
6,1899.887,76.199,0.9940000176429749,1865.785,55.454,1.0,1859.909,12.237,0.08699999749660492,669.208,649.539,1.0,697.293,671.779,1.0,700.663,714.898,1.0,682.038,565.133,1.0,689.729,611.985,1.0,693.988,657.481,1.0,1031.872,819.282,1.0,1033.642,866.454,1.0,1030.784,925.848,1.0,1855.357,457.455,1.0,1831.83,522.111,1.0,1799.932,586.97,1.0,1756.322,645.23,1.0,1720.299,707.177,1.0
