scorer,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap
bodyparts,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,207.11873517872453,55.77177397072375,630.0568890559458,90.24064233130933,90.50716960455483,598.2668723634539,58.86475444489132,109.69662662589423,598.2071457246392,68.96474402863474,156.77497303812922,644.751961357557,-160.66924970474784,-14.605004686907028,826.8220250622837,-190.7349967644062,22.98593764672103,895.3309483295674,-228.7615879701347,26.583007689218604,811.2279671147722,-228.02347307500384,-19.40224199311829,847.329270325957,-196.19199244391402,-16.36833717490879,859.790408445839,-188.28435807918456,-31.628647402871543,850.7077318416602,,,,,,,187.72454508475127,-76.86454625102698,932.0898411702362,,,,227.36991631979424,-90.2027747419059,972.4119173212215,180.22312991591852,-106.14656667329133,927.6459175402714,208.79498159379057,-81.51472926314969,942.9956009179645,204.65572686144148,-152.29804950936483,936.0961523144161,,,,253.8270050302598,-98.54861320743191,957.3216913484131,251.274011069806,-152.0338433924161,941.0114611708708,227.82559299355296,-124.53883940939755,955.3332357280281,,,,305.45355649179754,-101.19866916937875,503.1186710986746,295.29205586636857,-114.09887729991972,512.1973922453756,294.9392480236023,-133.99946572029472,538.3224582866218
1,206.84246707124333,55.609255849536474,627.9088322183756,90.31879594676761,90.7337142082403,598.7837824276284,58.91959784714956,109.89616478700836,597.6592905647123,69.28735680721881,156.94994460709847,641.7032780988145,-158.88806698179343,-14.495252225523867,822.1022425484327,-184.38026251352187,23.28275106009191,876.9851907823737,-228.7615879701347,26.583007689218604,811.2279671147722,-225.96695731763668,-18.956730125640757,842.4998096048437,-194.6298674183398,-16.024208558561643,855.6369608637071,-189.56909345474506,-31.5078808255968,856.511068538727,,,,,,,187.68594447802468,-76.82064157400075,931.5580298684504,,,,227.3155669236844,-89.95735794453464,971.9208383846008,180.88130796283932,-106.13818119166727,930.8240858878752,208.7944469625435,-81.31317440609706,942.9922857881962,204.77011439570782,-151.98242987186717,936.5668535255304,,,,254.00766620384894,-98.32723349395768,957.0163763640684,249.57112144971305,-149.0640797768853,928.1756397320032,228.00593512984943,-124.62513548117427,956.0894842944999,,,,305.52377426863086,-101.04372240848389,503.2337458660685,298.2689219465069,-115.11726297141713,517.0186666505529,294.24255266505315,-133.2545319009905,536.1734265227769
2,206.7545597411902,55.56362058118337,627.2722551508248,90.31874538449775,90.77254755361052,598.7825563680994,58.91895023756353,110.21692001077994,597.6546413701368,69.43102476069014,157.80087187190276,641.7430346563292,-158.60306206904144,-13.97452943080318,821.3566306449612,-182.7798852819584,23.21952044272362,872.3675716618795,-228.76051822924256,26.634796184984914,811.2245710557091,-225.25344975844055,-18.939582924125837,841.7599285239581,-194.6785761200041,-15.934561351133905,855.850673194177,-189.59021369998686,-31.54665744839346,858.4395669564352,,,,,,,187.80173130181439,-76.61277098369835,929.754381197944,,,,227.14488782281316,-89.81401061202843,970.3734787038469,181.11253509461724,-106.2289320641467,931.6203496102562,208.7944469625435,-81.31317440609706,942.9922857881962,204.7698166189017,-151.82184249673912,936.5656045882108,,,,254.00766620384894,-98.32723349395768,957.0163763640684,249.86952873447538,-149.06126911994056,928.8289057408765,228.0058736633414,-124.59610194345866,956.0891652280318,,,,305.52377426863086,-101.04372240848389,503.2337458660685,298.09593527818527,-114.83916845214901,516.4353811049069,294.35785502138265,-132.98552442146553,536.3836121819531
3,206.80765026066703,55.5741293942756,627.8035062111397,90.29254321802463,90.92369249374543,599.3080097263698,58.83260322810485,110.32870174469221,597.8859683616582,69.45563950785456,157.91142399803698,641.9719338946618,-158.81696517126105,-14.285516896441692,822.7861370771653,-174.19168208217175,21.57851471894679,843.5115953716061,-229.01311230370732,26.383684623350337,811.3045212081252,-225.25344975844055,-18.939582924125837,841.7599285239581,-194.67766949108068,-15.87764256922437,855.8471623099118,-189.68660213783028,-31.538165703960676,858.8761407971109,,,,,,,187.94540798731865,-76.74215558453477,930.6471085845583,,,,227.0397034348557,-89.83253012835297,970.5724577949842,181.3741397723876,-106.49365463096555,933.3601363976127,208.7466398159046,-81.50372846813298,942.8834141937283,204.8348292396432,-151.8235895174405,936.8629706065001,,,,253.961741309512,-98.56031761750238,957.0349951507703,249.94988314321648,-148.94660046569982,928.9430922384734,228.05393049531511,-124.62236308243551,956.2906802838851,,,,305.54742117887946,-101.06908088825678,503.29809390623603,298.87322411171226,-115.41124439971908,518.0658036571206,294.24257882031253,-133.00704226140056,536.1722064477992
4,207.04575785362223,55.68809973588238,629.8359698049958,90.27855288903301,91.12033106866934,599.5818311807222,58.76139777750853,110.35275283708877,598.0171494122467,69.40596484350131,157.9328098471882,642.0593839329983,-158.81433668639914,-14.011762931515094,822.7732144985155,-174.1916601976108,21.56555192694156,843.5117744222741,-229.2614319242528,26.31996603130149,811.8046948524784,-225.31780839749837,-19.034337975392127,842.0003535027288,-194.96819138366297,-15.541938732285328,857.1210048023165,-192.67680652331762,-31.81699194281411,870.5137711316044,,,,,,,187.66034441837152,-76.68447208689584,929.2350424654982,,,,226.51173948989899,-89.64576254924948,968.3153969837592,181.3741397723876,-106.49365463096555,933.3601363976127,208.74694966896482,-81.7792561120585,942.8834643666231,204.80498718766142,-151.72695314610894,936.7265130754,,,,253.90456268572024,-98.56466262362217,956.6258965183996,250.1753249900015,-149.03050484307312,929.7805076290018,228.20592379881361,-124.65727289908195,956.9279195105006,,,,305.5791337091666,-101.0972915252925,503.35096432694263,299.18987402509225,-115.65416820289366,518.9579242734849,293.9757808108291,-132.6932400033709,535.770556878537
5,206.91248959782843,55.540091667935506,629.0171491547376,90.34129939394549,91.29204811146838,600.3885287940954,58.64157109892705,110.53833009393942,599.1904396667271,69.39690868419002,158.04113932425227,642.7213547478813,-158.11003944108973,-13.953178594590883,820.1164631870681,-174.0484838957099,21.53156409763776,842.8188090742096,-229.26335631035369,26.22180403812216,811.8108876482472,-227.0258782413961,-19.10012837047953,846.6731128317952,-194.62728839574226,-15.274093431735752,856.1875797555497,-193.26159326616383,-31.979441896300024,872.6725499881844,,,,,,,187.94540798731865,-76.74215558453477,930.6471085845583,,,,226.34879690237005,-89.82058512647261,967.0631987461954,181.5830728108482,-106.5122581176596,934.0408341332138,208.74730125012115,-81.9601874620454,942.885074166989,204.8949075271032,-151.71909548087208,937.3739337937025,,,,253.25357676452262,-98.37226479593436,954.173804202015,250.26019038555935,-149.14519205683303,930.2396031556068,226.92914920933057,-122.16789429551295,945.4949622133042,,,,305.6637449013352,-101.13231191204017,503.5199496884863,299.22952561499966,-115.67981356943946,519.0729862565607,293.72597349132724,-132.4829249706646,535.3157739976223
6,206.84243047025802,55.43018978878575,628.8035135202255,90.34128384484815,91.30125802300813,600.3883101843489,58.641624256715716,110.52459669792273,599.1903883031996,69.41271264902011,158.1288464161911,643.0240553487071,-157.8343618558917,-13.949053169271894,819.3026691276385,-175.37843243878612,22.606146418867894,846.9009207044135,-229.49487650214564,26.292858466267933,812.3487756115685,-228.73955240156252,-19.000249126937568,852.0806878598013,-194.6280575294776,-15.317572886209707,856.190471456258,-194.2271120559169,-32.17094765395538,875.3671846046503,,,,,,,188.0479712461214,-76.76080868758486,931.3689215122943,,,,225.5243215930171,-89.5540282808936,963.5379437571755,183.51857254527908,-106.72398311908952,943.8441141928267,208.87555213760743,-82.13871102085209,943.4002139765162,204.93199813885823,-151.4632458056813,937.5430118702349,,,,252.87871907991504,-98.09673247089788,951.4867834051212,250.42118952472495,-149.20560738830687,930.8383525312332,226.7255102795863,-121.77719701832699,943.6936697619402,,,,305.8361216370011,-101.23964307262956,503.95208984713986,300.3211424527258,-116.31652453292958,521.4078788191093,293.97757705537106,-132.47594233597982,535.7749509910875
