scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,,,,,,,822.804,607.956,1.0,842.974,637.144,0.9990000128746033,866.456,665.964,1.0,490.126,304.265,0.9829999804496765,554.321,426.424,0.9869999885559082,606.2,549.136,0.9950000047683716,492.394,39.1,0.9900000095367432,535.407,104.453,0.9879999756813049,560.7,191.183,0.996999979019165
11,,,,,,,823.343,608.841,1.0,841.771,638.375,0.9990000128746033,868.632,666.133,0.9990000128746033,490.202,300.472,0.984000027179718,554.321,426.064,0.9769999980926514,606.683,550.211,0.9950000047683716,492.394,39.1,0.9900000095367432,535.42,104.464,0.9879999756813049,560.637,190.856,0.9980000257492065
12,,,,,,,823.544,608.862,1.0,841.756,638.375,0.9990000128746033,868.645,666.133,1.0,490.202,304.418,0.9829999804496765,555.918,426.534,0.9810000061988831,606.2,550.305,0.9950000047683716,492.409,39.1,0.9900000095367432,535.421,104.47,0.9890000224113464,560.637,190.757,0.9980000257492065
13,,,,,,,824.253,608.866,1.0,841.756,638.375,0.9990000128746033,869.172,666.133,1.0,490.202,304.418,0.9819999933242798,555.954,426.534,0.9860000014305115,606.102,550.335,0.9929999709129333,493.674,41.969,0.9879999756813049,535.446,104.453,0.9879999756813049,560.637,190.757,0.9980000257492065
14,,,,,,,824.253,608.866,1.0,841.756,638.266,0.9990000128746033,869.814,666.064,0.9990000128746033,490.138,304.075,0.9829999804496765,555.954,426.525,0.9850000143051147,606.2,550.503,0.9950000047683716,493.889,41.969,0.9919999837875366,535.477,104.453,0.9739999771118164,560.657,190.757,0.9980000257492065
15,,,,,,,823.544,608.866,1.0,842.123,638.197,0.9990000128746033,870.069,665.742,0.9990000128746033,490.138,303.978,0.9850000143051147,553.983,426.064,0.9879999756813049,606.313,550.519,0.9959999918937683,493.955,41.969,0.9919999837875366,535.477,104.143,0.9869999885559082,560.744,190.984,0.996999979019165
16,,,,,,,824.253,608.866,1.0,842.125,638.161,0.9990000128746033,870.481,665.558,0.9990000128746033,490.024,304.075,0.9879999756813049,553.983,421.567,0.9890000224113464,606.313,551.113,0.996999979019165,493.955,41.889,0.9909999966621399,535.477,104.141,0.9879999756813049,560.853,190.984,0.996999979019165
17,,,,,,,824.253,608.122,1.0,842.566,637.552,0.9990000128746033,870.481,665.558,1.0,489.491,304.075,0.9869999885559082,551.79,421.329,0.9950000047683716,607.322,551.417,0.9950000047683716,493.921,41.878,0.9919999837875366,535.431,104.122,0.9879999756813049,560.853,190.984,0.996999979019165
18,,,,,,,823.261,607.982,1.0,843.427,636.727,0.9990000128746033,870.069,665.558,1.0,489.468,304.388,0.9890000224113464,548.963,421.329,0.996999979019165,607.419,553.255,0.9940000176429749,493.889,41.878,0.9919999837875366,535.431,104.122,0.9869999885559082,560.853,190.774,0.996999979019165
19,,,,,,,823.06,607.972,1.0,843.427,635.522,0.9990000128746033,865.879,668.557,1.0,489.491,304.388,0.9909999966621399,548.963,421.403,0.9950000047683716,607.419,554.263,0.9869999885559082,493.847,41.878,0.9929999709129333,535.431,103.881,0.9879999756813049,560.825,190.328,0.9980000257492065
