scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,,,,,,,641.626,603.08,1.0,664.993,635.898,1.0,677.969,668.637,1.0,282.695,301.532,0.9879999756813049,362.213,422.828,0.9909999966621399,434.089,551.284,0.9679999947547913,260.603,38.345,0.9959999918937683,301.819,100.422,0.984000027179718,340.221,193.196,0.9990000128746033
11,,,,,,,643.262,604.479,1.0,664.912,637.629,1.0,677.969,669.32,1.0,289.805,300.735,0.9879999756813049,362.318,422.981,0.9909999966621399,437.465,551.764,0.9909999966621399,261.119,38.345,0.9950000047683716,301.723,99.305,0.9810000061988831,340.771,193.208,0.9990000128746033
12,,,,,,,643.375,604.479,1.0,664.895,637.67,1.0,677.969,669.425,1.0,289.805,300.735,0.9879999756813049,362.721,422.981,0.9909999966621399,438.021,551.892,0.9909999966621399,261.172,38.345,0.9950000047683716,301.723,99.148,0.9819999933242798,340.771,193.217,0.9990000128746033
13,,,,,,,643.375,604.541,1.0,664.753,638.132,1.0,677.969,669.475,0.9990000128746033,289.964,300.276,0.9869999885559082,364.282,426.198,0.9879999756813049,438.021,551.892,0.9919999837875366,261.172,38.23,0.9959999918937683,301.716,98.849,0.9819999933242798,340.771,193.217,0.9990000128746033
14,,,,,,,643.375,604.479,1.0,664.414,638.132,1.0,677.885,669.654,1.0,289.964,300.276,0.9869999885559082,364.282,426.343,0.9900000095367432,437.465,552.146,0.9909999966621399,261.446,38.23,0.9959999918937683,301.647,98.821,0.9810000061988831,340.721,193.357,0.9990000128746033
15,,,,,,,642.537,604.431,1.0,663.127,638.132,1.0,677.885,669.798,1.0,291.216,300.276,0.9879999756813049,364.282,426.343,0.9909999966621399,435.387,554.03,0.9919999837875366,261.446,38.151,0.9950000047683716,301.263,97.744,0.9800000190734863,340.721,193.357,0.9990000128746033
16,,,,,,,641.34,604.226,1.0,663.035,637.974,1.0,677.885,669.804,1.0,291.216,299.89,0.9890000224113464,363.838,426.343,0.9879999756813049,434.957,554.298,0.9900000095367432,261.446,38.151,0.9950000047683716,301.263,97.744,0.9800000190734863,340.703,193.46,0.9990000128746033
17,,,,,,,641.065,604.105,1.0,663.035,637.666,1.0,678.0,669.867,1.0,291.216,299.776,0.9900000095367432,363.276,421.831,0.9929999709129333,434.388,554.507,0.9850000143051147,261.345,38.284,0.9959999918937683,301.263,97.744,0.9800000190734863,340.707,193.46,0.9990000128746033
18,,,,,,,639.837,603.717,1.0,663.127,636.355,1.0,679.531,670.01,0.9990000128746033,291.509,299.67,0.9890000224113464,363.068,421.385,0.9919999837875366,433.619,554.507,0.984000027179718,261.423,38.38,0.9950000047683716,301.292,97.744,0.9810000061988831,340.703,193.31,0.9990000128746033
19,,,,,,,639.837,603.431,1.0,663.157,636.177,1.0,679.531,670.136,0.9990000128746033,291.509,299.565,0.9900000095367432,362.873,420.501,0.9900000095367432,431.285,554.507,0.9660000205039978,261.423,38.584,0.9950000047683716,301.386,97.755,0.9810000061988831,340.703,193.094,0.9990000128746033
20,,,,,,,639.837,603.297,1.0,663.561,636.101,1.0,680.067,670.166,0.9990000128746033,291.365,299.67,0.9890000224113464,360.275,418.084,0.9940000176429749,431.265,554.323,0.9829999804496765,261.568,39.009,0.9900000095367432,301.42,97.868,0.9789999723434448,340.657,192.867,0.9990000128746033
21,,,,,,,639.837,603.297,1.0,663.649,636.101,1.0,679.938,670.202,0.9990000128746033,291.365,299.598,0.9890000224113464,359.744,417.896,0.9940000176429749,431.265,554.323,0.9819999933242798,261.553,39.132,0.9909999966621399,301.462,98.006,0.9800000190734863,340.657,192.796,0.9990000128746033
22,,,,,,,639.976,603.241,1.0,663.993,636.177,1.0,679.531,670.29,0.9990000128746033,291.365,299.67,0.9890000224113464,359.586,417.19,0.9940000176429749,431.265,554.112,0.9819999933242798,261.553,39.182,0.9950000047683716,301.502,98.016,0.9810000061988831,340.657,192.743,0.9990000128746033
23,,,,,,,639.976,603.431,1.0,663.993,636.526,1.0,679.414,670.29,0.9990000128746033,290.188,299.598,0.9879999756813049,359.739,417.19,0.9950000047683716,431.285,554.112,0.9890000224113464,261.629,39.182,0.9950000047683716,301.555,98.017,0.9819999933242798,340.961,192.743,0.9990000128746033
24,,,,,,,640.316,603.352,1.0,663.993,636.687,1.0,678.625,670.316,1.0,289.825,299.64,0.9869999885559082,359.542,417.111,0.9950000047683716,431.412,554.112,0.9900000095367432,261.698,39.132,0.9950000047683716,301.555,98.017,0.9819999933242798,340.961,192.796,0.9990000128746033
25,,,,,,,640.316,603.483,1.0,663.993,636.724,1.0,678.625,670.326,1.0,289.825,299.62,0.9890000224113464,359.739,417.111,0.9950000047683716,432.726,554.423,0.9879999756813049,261.75,39.132,0.9909999966621399,301.555,98.046,0.9810000061988831,340.985,192.864,0.9990000128746033
26,,,,,,,640.316,603.483,1.0,664.064,636.778,1.0,678.625,670.464,1.0,289.825,299.64,0.9879999756813049,359.739,417.111,0.9929999709129333,431.412,554.356,0.9810000061988831,261.75,39.094,0.9950000047683716,301.322,98.017,0.9800000190734863,340.987,192.965,0.9990000128746033
27,,,,,,,639.974,603.483,1.0,664.518,636.778,0.9990000128746033,678.895,672.084,0.9990000128746033,289.825,299.64,0.9900000095367432,362.807,420.746,0.9879999756813049,431.412,554.356,0.9779999852180481,261.75,38.98,0.9950000047683716,301.306,97.937,0.9800000190734863,340.985,192.985,0.9990000128746033
28,,,,,,,639.974,603.483,1.0,664.564,636.778,1.0,678.895,672.084,0.9990000128746033,289.678,299.812,0.9869999885559082,362.993,420.87,0.9850000143051147,431.412,554.081,0.968999981880188,261.741,38.848,0.9959999918937683,301.306,97.937,0.9800000190734863,340.779,192.985,0.9990000128746033
29,700.265,347.915,0.9980000257492065,694.422,394.738,0.9990000128746033,639.823,603.713,1.0,664.564,636.381,1.0,678.899,672.084,0.9990000128746033,289.678,300.14,0.9860000014305115,363.112,420.87,0.9869999885559082,431.543,553.951,0.9810000061988831,261.741,38.774,0.9950000047683716,301.207,97.937,0.9789999723434448,340.73,192.985,0.9990000128746033
30,699.575,347.134,0.9990000128746033,694.382,394.185,0.9990000128746033,639.823,603.746,1.0,664.518,636.381,1.0,678.899,670.717,1.0,289.678,300.14,0.9860000014305115,363.13,420.87,0.9919999837875366,431.376,553.896,0.984000027179718,261.716,38.602,0.9950000047683716,301.177,97.845,0.9800000190734863,340.73,192.887,0.9990000128746033
31,698.99,346.606,1.0,694.276,394.104,0.9990000128746033,639.974,603.85,1.0,664.224,636.381,1.0,678.964,670.714,1.0,289.798,300.076,0.9860000014305115,363.516,421.004,0.9919999837875366,431.543,553.896,0.9779999852180481,261.716,38.602,0.9950000047683716,301.207,97.817,0.9789999723434448,340.711,192.703,0.9990000128746033
32,704.319,,,,,,640.164,603.85,1.0,663.96,636.411,1.0,678.964,670.27,1.0,290.147,300.076,0.9869999885559082,363.872,421.004,0.9919999837875366,431.812,553.896,0.9850000143051147,261.716,38.345,0.9959999918937683,301.38,97.817,0.9779999852180481,340.655,192.703,0.9990000128746033
33,,,,,,,640.558,603.85,1.0,663.853,636.644,1.0,678.964,670.244,0.9990000128746033,290.259,299.778,0.9850000143051147,364.115,421.119,0.9919999837875366,432.666,553.896,0.9919999837875366,261.56,38.345,0.9959999918937683,301.242,97.817,0.9779999852180481,340.644,192.703,0.9990000128746033
