scorer,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d
individuals,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-27.196808256439873,-85.05188222440312,877.4909599457138,-37.276372273093955,-44.28154095328115,893.2749940119288,-93.15920494096561,-39.92954412626196,863.117977914179,-84.81772796163582,-79.34605408653057,869.6372055305674,-61.14667218014561,-81.30591435400454,896.2388988649107,-63.13787574871707,-102.55987795796318,946.2981284022628,,,,,,,199.08025999212524,-162.9893041852205,771.7587657616768,85.12295947261612,-134.65603700384875,768.8092259956882,54.243358603000026,-113.4877979204487,772.6320561762827,67.4331709921622,-59.24420769056497,823.8649310490575,-331.664440128467,175.49330301335868,755.3172972074841,-296.9890308627309,205.74389542003348,790.1967825923116,-284.87726996182965,167.73706783452937,793.4398044909614,-328.2870235509719,140.77095866074833,777.6733662687377,-303.95555305003614,167.031230154843,763.6402163106337,-296.7527867544721,109.81296151903527,801.5079161322119,-281.4839533936933,154.05522290108533,786.3853768481113,-244.8707746766875,156.4995620555226,800.1602450931981,-254.81688664590249,106.3264898994268,798.9957233205339,-270.2734125075322,133.9199122202837,795.8186111152513,,,,308.5515314631061,-102.09458973013616,505.43803475279134,301.88623224249636,-114.62466646973591,523.6383788914316,299.032877576997,-129.64770729520683,542.9295019304446
1,-27.27815246251782,-85.2927716945177,882.6875277352691,-37.413234070986306,-43.898073370210916,896.5393984190722,-92.8080016487542,-39.85395680042563,861.6939616020455,-85.21747928319846,-79.44866981032722,873.7359812794931,-61.245515496889546,-81.52159397968288,899.0233072792136,-65.58436314871501,-106.10064805145923,982.9694076582548,,,,,,,200.65449214923,-164.22411711073244,777.8617580294892,85.1309018929861,-134.43364992695447,768.6221240057536,54.24316110082735,-113.34153739024977,772.6287292890038,67.81279037916276,-58.838531285923054,827.8551704651139,-333.4997017442034,176.95761201099086,759.5227437956133,-297.42986526094353,206.27894254585067,791.4989616839061,-285.0110917220948,167.89275457315435,793.8118715352165,-323.9604595756623,140.41645346852624,770.1415910037421,-303.95456850775383,167.0959488599612,763.6373813470767,-297.5061248699096,110.14924389797814,803.5423379285988,-282.03531242513577,154.74431216000647,787.9580905206759,-244.34778011248952,156.51176591570515,799.1769018966427,-254.2660712074921,106.35762106902915,798.4081015975664,-270.73359972079896,134.43652893931613,797.3429182624113,,,,308.56837344449184,-102.08733710660042,505.4656288886195,302.4112240751321,-114.77616095187501,524.5016209988911,299.0876958869853,-129.41355988645938,543.0295355938217
2,-27.251121214205703,-85.20013284371045,882.5233502039334,-37.413234070986306,-43.898073370210916,896.5393984190722,-92.76756414216729,-39.52769088112854,861.5232319890473,-85.21654722454778,-79.26216371997083,873.727955031704,-61.1119270144315,-81.27667253197234,899.1963797681208,-66.21485611451318,-107.12064289547533,992.4191494463557,,,,,,,200.65247605009196,-164.03427174759716,777.8440732063067,85.15844747715731,-134.30114398046874,768.0243989032605,54.24313298291925,-113.31746963887001,772.6281305769885,68.32947712415483,-59.066636350895145,834.0723265034117,-333.4952230717104,177.1173188172694,759.5126521796772,-297.791772946654,206.9478152138391,792.5692448887397,-284.82080224337517,167.9601115738222,793.6615918178196,-324.33710383110014,140.60908181013596,771.0368854585412,-304.06232399544143,167.1551863491256,763.9080998259603,-296.7364228059632,109.95200839263143,802.0589398913967,-281.5643999589827,155.38742008960455,787.0202161003922,-244.43203579453834,156.6032560362361,799.5026591864416,-254.47241611129044,106.44656905977313,799.075741120833,-270.7324512094504,134.47627330085115,797.3398969091043,,,,308.56837344449184,-102.08733710660042,505.4656288886195,302.71018815840995,-114.72249263848063,525.0208452299552,299.0878840104664,-129.36496052848628,543.0298460293955
3,-27.173983052970275,-85.08862323556765,882.0587665929392,-37.41353108078733,-43.7438756230839,896.5372321190248,-92.5646859129818,-39.15149910153536,860.6935385173805,-85.00117259577526,-79.06183808322194,871.5197121485685,-62.13778071204671,-83.02209924992187,916.3486782434134,-64.14715592233557,-106.30313597414415,984.5037640896353,,,,,,,200.57635298725629,-163.94754463377726,777.1083237854359,85.15634616681884,-134.29016140719932,768.0696150637142,53.941236183164534,-114.1810623292941,778.3494745670171,68.45343839560532,-58.92005234649133,832.0684586207879,-333.4486394142227,177.2204066380357,759.4325890285904,-297.90860569002893,207.05839640410852,793.615120041808,-284.8170600836805,168.12374127134902,793.6514988792122,-324.3360146482608,140.6583609256423,771.0341931497197,-304.5796732617013,167.19036883530973,764.8440670371781,-297.5059636511975,110.15494092014117,803.541932299424,-280.9682107070348,155.08718941957537,785.3534147365264,-243.61451941950935,156.13975696049184,797.5674208179123,-254.47652677992556,106.21360991778471,799.0885078026085,-270.62412769524934,134.43990157318876,797.0210250250009,,,,308.69362466491026,-102.16814978782317,505.8021271640891,303.30656081857546,-114.8923249996765,526.1032193612602,299.0734456443553,-129.32682315633312,543.0508820137501
4,-26.933609449649968,-84.74832775958342,878.5320416484934,-37.41850007652307,-43.69622170007374,893.7926065410539,-91.68958062097822,-39.076990456135704,857.1476945163389,-84.41078197910876,-78.40970027428291,871.6352159093493,-60.58320488911452,-81.89277710152867,898.8612249422982,-64.67226821058347,-106.789521763101,987.3186046827689,,,,,,,200.21261465786102,-163.62895285984982,775.5982258551063,85.15630619131748,-134.27204454176677,768.0693759997226,53.784384619032025,-114.12476057315034,777.8253196827643,68.53030244479925,-58.564565763548096,831.8750664067429,-333.44640244540074,177.30664707464672,759.4274450990443,-297.3885473183655,206.84369189045287,792.6341327165687,-284.4105203777849,167.93671312048355,792.8537295341305,-330.6829835732109,144.12187670244123,786.2474737129928,-304.8655932776706,167.19859283694745,765.5614239064937,-296.92298521923385,109.93407170399942,801.8267143830586,-280.70946724545536,155.36027918975256,784.6926743050782,-243.23225627968054,156.01585965556734,796.7271653546877,-255.16339947597086,106.44690795931214,801.500999108565,-270.7208639745717,134.47209358430848,797.3162240760257,,,,308.2507098331426,-102.0539567664152,505.17332444129124,303.38490543656343,-114.91106471611472,526.2393211376634,299.20867124314856,-129.35208488700357,543.461342543436
5,-26.100934553092525,-84.31697597050857,873.5486623740517,-37.09856834455533,-43.40477657078503,886.1491970474457,-91.92843368503993,-39.13832753085366,859.3800754434606,-82.81997248105377,-77.77399106544968,864.8430768764091,-61.538761089064785,-83.36339928972235,913.042065069919,-68.29780137472368,-109.20598588825226,1009.0119784784684,,,,,,,199.95733675302353,-163.43200505070212,774.0630113038025,85.08504963931738,-134.09017005210623,767.4265144403221,53.784384619032025,-114.12476057315034,777.8253196827643,68.53024458884651,-58.53066690817634,831.8743547213221,-332.9553735447403,177.12599667754444,758.3227420400159,-297.3827775032571,207.1888906645017,792.6174208887935,-284.41012714296915,167.9807957439508,792.8522218384581,-331.00781944998687,144.14284872902695,786.8162580834396,-304.9432332961525,167.07772914739124,765.7571785328036,-296.92260145131803,109.9284371493109,801.826066871802,-280.70946724545536,155.36027918975256,784.6926743050782,-242.8267855697213,155.82406514640064,795.5400568040441,-255.2917498083167,106.24625898133475,801.9030296172657,-270.4415465704409,134.42667083704163,796.8398230874818,,,,308.1947635756212,-102.06591084755861,505.0816449358973,303.4175512949584,-114.90927468366024,526.2483957314428,299.38470668413595,-129.51701595046688,543.9940138128852
6,-25.702756751102637,-83.8850741792424,871.1598685681894,-36.69680269953031,-42.94452709203108,880.7063695752033,-91.58069750707054,-38.97459373276727,858.8539820999262,-82.11139209183149,-77.00131047163396,859.1990538885879,-61.5388308346088,-83.42670833587908,913.0439038062838,-65.26793733885636,-107.13457936139079,990.5066572114933,,,,,,,199.55351544647849,-162.89131967818554,771.4528699954054,85.22430546914978,-134.49486258996907,769.7879771940253,53.865469179754314,-114.0540377767794,777.2566664246106,68.5486827769042,-58.1840144245692,833.2393184492423,-331.6952603323705,176.58852510062792,755.5879026713123,-297.9124650366541,207.4825796412594,793.6241176215449,-282.7450718703218,167.19003082409648,789.2392149672327,-331.01050658779803,144.0698169657563,786.8221445911153,-304.84343497043375,167.04971243648828,765.8528325365539,-296.9229501097096,109.90572468315767,801.8271154301882,-280.70946724545536,155.36027918975256,784.6926743050782,-242.52627578237158,155.63524239782538,794.5562762304706,-255.19556189788463,106.19013057155009,801.6977260025313,-269.74484455362716,134.18109452863956,795.2238797837558,,,,307.94340227388614,-101.98474815133014,504.62130253333333,303.60259377393936,-114.95426025764597,526.5649276923428,299.51135909657006,-129.6086355900658,544.3788138150295
