1000, 0.02147, 0.005
2000, 0.01006, 0.005
3000, 0.00846, 0.005
4000, 0.00769, 0.005
5000, 0.00707, 0.005
6000, 0.00670, 0.005
7000, 0.00644, 0.005
8000, 0.00598, 0.005
9000, 0.00580, 0.005
10000, 0.00562, 0.005
11000, 0.00666, 0.02
12000, 0.00596, 0.02
13000, 0.00559, 0.02
14000, 0.00515, 0.02
15000, 0.00484, 0.02
16000, 0.00474, 0.02
17000, 0.00453, 0.02
18000, 0.00446, 0.02
19000, 0.00430, 0.02
20000, 0.00412, 0.02
21000, 0.00406, 0.02
22000, 0.00402, 0.02
23000, 0.00391, 0.02
24000, 0.00376, 0.02
25000, 0.00376, 0.02
26000, 0.00362, 0.02
27000, 0.00361, 0.02
28000, 0.00355, 0.02
29000, 0.00353, 0.02
30000, 0.00338, 0.02
31000, 0.00331, 0.02
32000, 0.00340, 0.02
33000, 0.00330, 0.02
34000, 0.00325, 0.02
35000, 0.00328, 0.02
36000, 0.00323, 0.02
37000, 0.00316, 0.02
38000, 0.00307, 0.02
39000, 0.00309, 0.02
40000, 0.00304, 0.02
41000, 0.00308, 0.02
42000, 0.00293, 0.02
43000, 0.00300, 0.02
44000, 0.00298, 0.02
45000, 0.00289, 0.02
46000, 0.00283, 0.02
47000, 0.00285, 0.02
48000, 0.00280, 0.02
49000, 0.00279, 0.02
50000, 0.00274, 0.02
