scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
53,580.126,171.026,0.9980000257492065,606.693,227.232,0.9980000257492065,626.499,306.16,1.0,635.371,361.298,1.0,651.953,420.42,0.4560000002384186
54,580.265,171.101,0.9990000128746033,604.051,227.035,1.0,619.017,302.431,1.0,635.713,361.372,0.9990000128746033,660.143,419.644,0.02800000086426735
55,579.026,171.099,0.9990000128746033,596.011,229.038,0.9950000047683716,618.416,300.872,0.9890000224113464,635.971,357.532,1.0,660.21,419.853,0.22499999403953552
56,582.208,171.382,0.9990000128746033,595.749,227.904,0.8700000047683716,626.946,306.948,1.0,628.716,361.526,0.9909999966621399,659.915,420.202,0.07800000160932541
57,588.645,172.884,1.0,596.704,230.439,1.0,612.278,300.094,0.9760000109672546,627.899,349.745,0.9879999756813049,652.246,411.885,0.02500000037252903
58,572.909,172.994,0.14399999380111694,588.031,236.682,1.0,611.826,301.058,0.8209999799728394,637.858,355.95,1.0,652.268,420.714,0.925000011920929
59,581.324,172.57,0.9990000128746033,587.725,235.632,1.0,604.011,291.929,0.7409999966621399,627.812,354.082,0.9959999918937683,650.419,421.141,0.9980000257492065
60,573.392,175.961,1.0,587.562,236.148,1.0,620.064,300.298,0.9980000257492065,636.251,362.059,1.0,649.022,422.207,1.0
61,578.731,172.996,1.0,592.526,233.89,1.0,628.463,300.756,0.5979999899864197,636.513,361.106,0.9980000257492065,649.861,421.989,0.996999979019165
62,579.356,172.772,1.0,594.14,229.327,1.0,627.874,307.391,1.0,640.258,364.295,0.9990000128746033,652.582,422.004,0.5120000243186951
63,575.188,173.927,1.0,590.283,228.459,1.0,619.263,300.707,1.0,637.567,361.084,0.9700000286102295,651.342,423.414,0.9419999718666077
64,577.34,173.295,1.0,596.935,228.098,1.0,620.695,300.947,1.0,638.07,361.392,0.996999979019165,650.554,423.786,1.0
