scorer,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d
individuals,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,303.4961755833699,-101.46089509974789,497.71936090557233,295.7833408970898,-113.30404463052432,511.146625724164,293.4950680158718,-130.96976572256617,530.578149249827,90.95278897870087,30.567698240440464,650.3227476826755,-5.497821935736687,89.41957559579689,604.63345873627,-30.241522529441777,114.7316216315433,592.9548252187028,-17.26122621150085,161.8599987753722,642.8031886421435,150.2450054773283,-43.04388498192647,849.3501261418131,151.85852602771547,-3.3822783308903124,813.279866708597,90.75741666515013,1.9959709459171349,784.9214660806177,87.58614321315989,-35.968659050949164,813.5272608154742,120.15779945424595,-48.129181745163336,883.5064815754869,119.55214818364944,-64.07352401711391,871.3932301035527,,,,,,,-167.67119441538298,-97.34062206033795,945.6966154866683,,,,-120.35855107407866,-43.503261548923334,947.7350040986855,-125.89063416712676,-99.43278767919462,950.6842995143711,-143.62188080680926,-69.87791958418782,946.3268136555895,-194.90381414047226,-20.8783450941886,889.7848838449061,,,,-151.56027105260927,-34.88978077785199,964.9556261901656,-212.02759438872053,-60.08874794474815,972.6029759735361,-182.84181475048342,-32.70725201842241,964.368930640101
1,,,,303.9332371488384,-101.48130174867536,498.39641586109775,295.69508378120844,-113.22463102722126,510.8327676739802,294.10123728980074,-131.0813204481084,531.6734733459215,91.06353011467284,30.566362370418922,650.291242481363,-4.932132165180265,89.39426572724581,604.4543433842199,-30.26146534794317,115.42979533008045,593.3641665900659,-17.296673868854306,162.52740522378258,644.1701589813268,150.24443558538366,-42.75102149968479,849.3490870104379,153.02805103629788,-3.168430915342327,817.6895638828813,90.78764508304181,3.1985817437433304,784.0212578809145,88.14342739696464,-36.15866809636265,818.7044705507872,120.17657479883094,-47.77490598811568,883.4422815834778,119.6329433506601,-63.1771960962168,870.3309074646662,,,,,,,-167.0435033177809,-97.05666465810971,944.3810778636476,,,,-120.35570450493263,-43.076206046120824,947.7147787270435,-125.44464869135284,-99.17935741963664,950.0316189919319,-143.65188318642592,-69.68727519593942,946.5272268361297,-194.60282632919078,-20.762882275203488,890.5299255402047,,,,-142.4248450987593,-32.61517821296448,932.9793485547832,-212.0253062571073,-59.908437760969655,972.5928861735134,-180.0180158340338,-31.989226981056028,955.3590995612216
2,,,,303.9332371488384,-101.48130174867536,498.39641586109775,295.69508378120844,-113.22463102722126,510.8327676739802,294.1144167065323,-130.98051229237885,531.6968849971275,91.08422121845783,30.610880800757318,650.1888771722403,-4.717336808702908,89.66459675039609,606.242936205771,-30.544803065603393,116.74203170422616,598.9363016767294,-17.310674913403066,162.67845497196916,644.6883629347825,150.25658771014062,-42.74598560174383,849.4178421635291,153.01814813543206,-2.7396123419147638,817.3467577862993,90.89629329323539,3.4878940514595587,781.0791209388242,88.4353461448799,-35.92235460859942,821.407547925101,120.34990454443178,-47.74803826103944,884.7152150309065,120.38512154612573,-62.16040073392009,863.7402090991078,,,,,,,-166.4185071502868,-96.82423070704996,942.3463494804653,,,,-119.74488761286598,-42.54853757624857,945.2948740868316,-124.91795520509692,-98.72164425186484,948.0221015165538,-143.71366325300576,-69.60309496463391,946.9357394472753,-197.96956497437557,-21.06353586050354,905.9368386429223,,,,-142.79861288051745,-32.70077074285743,935.4277810685986,-212.18843794940113,-59.69441583408862,973.3401402333768,-178.16140963500055,-31.68231362175168,950.0023309773193
3,,,,303.71891383849345,-101.4305070802289,498.0449510017219,295.7940721374688,-113.34020341266017,511.16523749574566,294.1656335377646,-130.99197402284832,531.8534426169506,91.08455292995008,30.473090749498695,650.1900748965826,-4.620235898196206,89.59482520471802,605.7701160097727,-30.684423534781754,117.10603785988587,600.0877234646646,-17.419973073591798,163.0342834699857,646.003571653359,150.38582360483184,-42.94883216080101,853.324036995188,152.98340817550059,-2.6881812897559527,816.4879312287535,90.39514320103312,3.479364614053648,776.7549043293204,88.14879741480675,-35.6968607727949,828.8357390410468,120.44983647579238,-47.4862633578404,884.623931942371,120.86736797398459,-61.62849525984865,864.5610095367085,,,,,,,-166.4588248013103,-97.02826838665582,942.482876838443,,,,-119.62120723285402,-42.50459065374684,944.3185114915665,-125.11366865271236,-98.94739537511137,949.5068127448861,-144.41746957434466,-69.74850599140262,949.4649194386601,-198.2132406138277,-21.139547225275656,907.0521244088102,,,,-142.1580839623413,-32.57254913604772,932.0296988436735,-212.18665088947597,-59.49621379887019,973.3311800799628,-178.1613589476807,-31.667070121725605,950.001874116309
4,,,,303.7014392728689,-101.45104524553481,497.9976656493655,295.793857267934,-113.39980743030503,511.1649481854134,294.53835350711245,-131.22392704201502,532.9409522087544,91.08463797622095,30.413662405273772,650.1919024151407,-4.620551187854688,89.48984452831847,605.7740917612681,-30.729214853665813,117.40924519364684,600.9554486592316,-17.433768296807774,163.1500643930358,646.5173471068416,150.4763216336617,-43.421027297490056,855.8505501188043,152.97677621959244,-2.6664223962208746,816.4403885687975,90.38071175496745,3.601359846926303,776.979495654991,87.77336743270288,-35.448160405151405,828.1489879339473,120.47269204635965,-47.49527396071838,884.7917909058575,120.98597264695857,-61.62624447527269,864.5307500962047,,,,,,,-166.73799970723664,-97.18050773624911,943.4608426698138,,,,-119.38606621714426,-42.452963547449784,942.4625862165542,-125.1247913386442,-99.01319058972935,949.7106543065902,-144.62479731954267,-69.88422336715824,950.828364324192,-198.32512063416854,-21.147029011953723,907.3714005976555,,,,-142.292149151973,-32.60823617124678,932.5072490504406,-212.29179676850467,-59.269018350288064,973.8113371453449,-177.8267314375077,-31.531355243678306,948.2146782322881
5,,,,303.58424682651616,-101.40905154209234,497.7017766902465,295.8090497341642,-113.43697521656283,511.2574477391962,294.6104217699817,-131.2539874551693,533.1122004293258,91.30853724606692,30.406905547359667,650.0408622334668,-4.579865576818602,89.37093839515465,605.2928046651175,-30.846576142114454,117.69496124244422,601.4200579135187,-17.437660162695995,163.42820914794513,646.7025929508667,150.51466897017366,-43.41405487808715,856.0687510859544,152.4593580117757,-2.645194506062656,813.6787480431649,90.26853290899864,3.712614942641757,777.0578272135951,87.62304042065834,-35.24372708110194,827.6522496995233,120.47176598830822,-47.40989295320333,883.0345651279929,121.17128299342771,-61.7206354237927,865.8549242077552,,,,,,,-166.73764366483547,-97.13258881108163,943.4587332370892,,,,-119.21481808666469,-42.480770029918666,941.7888590049229,-125.17108612173114,-98.96144445759019,950.061329931396,-144.69224031196757,-69.87847216127051,951.2721680552213,-198.79592167210043,-21.184337765629984,908.7150515218259,,,,-142.084441427553,-32.54683444833754,930.7497333657076,-212.12769062749157,-59.035096713578255,973.3260485125088,-178.8488011286091,-31.662849125811316,951.4727553583838
6,,,,303.41201210122637,-101.3894863243372,497.3070783238733,295.8795758840024,-113.53531471791526,511.46324595669955,294.6479846605254,-131.31709349297103,533.2109217230657,91.35692842212526,30.377410497806117,649.2372794788936,-4.578250801158771,89.31682490744247,605.0729392266047,-30.87682005385599,117.81035674053346,602.0097277380451,-17.63088629175761,163.71595551014943,647.4385487366864,150.51473516482687,-43.44648088748617,856.0689535733308,152.41081164584023,-2.4656071118703,813.4181868328111,90.29887339117158,3.815140190429037,776.2561230768838,87.48356212256701,-34.62997948442693,826.2272684248513,120.44827154248722,-47.273800949116556,881.8505947556588,121.1850022560924,-61.790242961817505,866.8349403899326,,,,,,,-166.85127010813991,-97.01519366159624,944.1012347636673,,,,-118.82088841557955,-42.51084491083601,940.2383406642164,-125.17591405868677,-98.93105902784329,950.0976918129269,-144.28003347611843,-69.75851726027074,949.6408889742961,-198.79592167210043,-21.184337765629984,908.7150515218259,,,,-141.86568085979067,-32.49354988802864,929.7129217401579,-212.02205171114358,-58.960815311617026,973.1447658745321,-179.43628723718209,-31.72538163959651,953.3452467970266
