scorer,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2
bodyparts,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-189.58355010126854,94.04800908333158,614.7869822561497,-312.7559208922761,129.21166090303763,597.1078181436877,,,,,,,,,,304.33213814264735,-101.80589782053016,498.3505328094383,296.2836551747454,-113.68726404663074,512.2920581650321,295.1300956047813,-131.76129169673615,534.6872513684435,-167.97835515492724,-106.75615247969205,905.9168419185232,-184.1572240974069,-75.41449420488145,935.6514311979881,-239.3231736035954,-69.35716396342342,895.3152745645801,-236.89457852987675,-113.94541776388444,925.668639894169,-201.21246774753268,-114.07789636189882,917.7854720679637,-202.9753801514538,-129.8472064689175,951.1492159689557,,,,,,,38.40845778209032,116.71678749273464,763.5176628743283,74.18005476119436,142.67201756570512,801.765238683105,70.24481604251075,110.24734849184134,827.7075546885836,36.37820452105455,80.20716566202147,785.5949579752083,56.87335042412398,108.74994768534395,785.6686112810825,72.47890391458449,43.1846576140857,817.8387851576584,74.3849834914638,98.63933716653054,835.2656775840408,120.08873044642473,96.70317776268851,832.8596721499471,118.45517256337041,45.996202059034395,824.0285827651079,95.60410667922146,71.74781654573361,818.1537527376544
1,-189.56320951264522,94.63165508097406,614.8046624113844,-312.56696899102315,129.45158473621424,596.842115361089,,,,,,,,,,304.4497920503859,-101.71515981820187,498.5432537938443,296.4114361430209,-113.73409485702302,512.5129992654358,295.7320590322265,-131.86342499977448,535.4958592609119,-166.7147464467787,-105.84340246107816,903.558320022352,-184.6973034318361,-74.94520017190266,938.8046637767311,-239.58780019797638,-68.7828594163282,896.684004564834,-238.42025473716797,-113.12463053300364,931.6273444790105,-200.87852620223893,-110.79002246372843,919.2688514191813,-202.38607862492861,-128.43607594675922,949.3897521458388,,,,,,,38.773248951342545,118.20086120835872,769.6899958514267,74.29680948233346,142.78331064784075,800.2826550799152,70.32089974932101,110.270705672227,826.8771976352133,36.70341618928289,82.18818747103082,792.6124046566615,56.89692427370153,108.93942816487163,785.3866404957907,72.47841548623549,43.60469933622637,817.8257547286536,74.4383321828523,99.19975138356347,835.5532556449,120.10716756545654,97.01838277549072,832.9943828717624,118.5310315321576,46.40098533421466,813.0202972762418,95.61362721803474,71.75873953886565,817.8305681029233
2,-190.54566427924752,95.12608405876084,618.0167885259464,-312.45106915120095,129.54574600950826,596.6799495951678,,,,-322.9013652608451,196.90249627531168,660.4527912143496,,,,304.4499303203463,-101.69708643176592,498.54351760806395,296.6112400897053,-113.76324128665837,512.8584701486639,295.89620401314716,-131.92467578569523,535.744599772161,-165.91355140285629,-105.11020089603069,901.1006563536191,-185.01485246662043,-74.9476309960511,940.8802019891409,-239.84563188317694,-68.85687988206799,897.6489683392764,-237.44512669589773,-112.81035369556517,929.0897833086573,-200.92490903160132,-110.52256866266161,919.6301420945802,-201.56156834427426,-128.09087410731348,946.9586834453445,,,,,,,38.91147510645719,118.07767890519627,768.837454927344,74.37686316441409,143.038715134409,800.6693094487719,70.62609051506989,110.79049504432226,830.4674288004677,36.8015931609577,82.40218454429102,793.663257650471,56.9226233470117,108.96265786629206,785.0636143255431,72.4774347907552,43.936760129901074,817.8257280029671,74.73943952605232,99.86071636122993,838.1569072407618,120.15664340381646,97.05659475623445,833.0659839777769,118.70991964625794,46.5515556471536,814.2455139782231,95.77082574157802,71.95837002625507,818.9402419775554
3,-190.4152516912973,95.12928999263288,618.0432194572146,-310.40186940983523,128.57676253709948,592.7653695157508,,,,,,,,,,304.62416367973174,-101.83168326306571,499.01564481403807,296.78372697639395,-113.94526143388511,513.3607468879826,296.6458488614666,-132.28472384565592,537.1018405876323,-164.40381824677218,-104.47587386603261,896.6663434790902,-185.0159793884156,-75.097707276989,940.8865487970049,-240.15218653892248,-68.91568369437863,898.4145700980778,-237.40609252352237,-110.40193480405185,928.9449850195524,-201.3321604684111,-110.80426500383841,921.6682877167574,-202.2756481427987,-128.62646207211608,948.8705178000727,,,,,,,38.926835533187955,118.12429043898258,769.1409559221019,74.63435548104367,143.52617246312064,803.4463534634934,70.6960761967399,110.83323298072015,832.3293154463311,36.793723686779444,82.53432561327078,794.5729127595341,56.92125863405854,109.33250947537383,785.0446445069232,72.39782489342736,44.11556966288353,818.989811882322,74.74796838618542,99.90625643537876,837.995266843673,120.25654059125135,97.12017605096781,833.7217544783296,118.70998407133077,46.523300267606075,814.2453197812806,95.77600978441764,72.0013971975695,818.7395792020186
4,-190.41501312998832,95.14423015452346,618.0424930293988,-310.3998264535819,128.6174063505274,592.7619194045087,,,,,,,,,,304.6737588052472,-101.88675259708452,499.18216266145805,296.89175818543714,-113.94484948445957,513.5589251683522,297.8452233189175,-132.81956672144085,539.2734072255446,-164.49762354567397,-104.79923725102067,897.7372588422259,-184.8239218457072,-75.02896602577268,941.1983466416098,-242.76329995305534,-69.51968583174552,905.1009138055689,-235.6904621430713,-109.22081024410309,922.231547441698,-199.50991770587936,-109.82793286441112,916.4291994728292,-202.53602134085463,-129.17954052250337,949.6087658938825,,,,,,,38.9564369553969,118.41535717576132,769.7109381905278,74.73341181723937,143.74075594722132,803.5886172340944,70.69636081874518,110.7272817880471,832.3298249436081,36.756244567578044,82.79796322090392,794.923643292628,56.887649778259224,109.29499349724821,784.3277689492355,72.31626725502005,44.09820104419963,819.0336504255578,74.72405368526645,99.8742926470086,837.7271604775625,120.26744381779206,97.00216086151009,833.5300274978823,118.74530584126435,46.45816525386859,814.5173304750355,95.77670906893714,71.91709823821056,818.7232303847622
5,-190.18631925633215,95.03105893454543,617.3002029954172,-310.85318168805117,128.7528668148384,593.3873880181998,,,,,,,,,,304.67370617983426,-101.89942580029651,499.18209757133513,296.89115167385023,-114.0439616341676,513.5577226862677,297.7707007943915,-132.80157596937437,539.0472106198966,-163.87087383025923,-104.46500383873072,895.7552463259556,-184.48350908350534,-75.40565054179785,940.154911406609,-244.5359789830487,-70.17948994761547,910.6372623501118,-236.02603521224611,-109.08771598993357,923.0983445342904,-198.7728934432091,-109.50928045265672,914.5329890153928,-202.54407083431622,-129.71058963563627,949.6424212605486,,,,,,,38.97491048031212,118.30176837662877,770.0490726693058,74.73331591045515,143.77012822746033,803.5887928914268,70.73244347164892,110.64332691923764,831.7200297385102,36.73721438617479,82.95940930821392,795.1007958162171,56.919598573773236,109.34374482316478,783.9259750977079,72.281277804158,44.054050455075426,819.0029785332073,74.75362039235743,99.81654038251324,837.1789684515749,120.26751066746264,96.96691749823893,833.5090782501265,118.76010153521422,46.55765780500719,814.6173028101438,95.77713146936509,71.94954936752364,818.7259227466252
6,-189.28011540826594,94.74387331984113,614.3574919990006,-312.6975795958087,129.37042605747226,596.5478150794532,,,,,,,,,,304.673418812117,-101.96222209483643,499.1817030726719,296.79262282964174,-114.05995162625881,513.3872458114024,297.78034873493226,-132.8087970848906,539.0765210102531,-163.3636450023587,-104.20579228880182,894.1514203327914,-183.97640343007123,-75.46293860050247,937.9285258671224,-244.75792900667452,-70.23108749679459,911.1925012700144,-236.0217824004266,-108.84416877303475,923.0812424552465,-198.65823019750673,-109.46982167878507,914.2036534821773,-202.57535802290585,-129.75822316388832,949.7511554582312,,,,,,,39.130873941576496,118.75851961499367,773.1082673259076,74.73312334240191,144.0261604278177,803.5787782837396,70.84487034325147,110.17949914624042,829.8302385927631,36.73717474103436,82.8678870732438,795.1042703013918,56.95202477419281,109.44858982370525,783.1722512622947,72.1825810197336,44.00595008258384,818.960241819761,74.75362200794558,99.70761428853073,837.1848414118075,120.26751066746264,96.96691749823893,833.5090782501265,118.74996532851729,45.809316565396514,823.1589305103288,95.90082220465598,72.05172743901254,819.7817971064076
