,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,100000,95,1,3.1,4.67,0.6,3.1,4.67
1,50000,95,1,49.39,122.87,0.6,13.4,14.55
2,50000,95,1,3.06,5.09,0.6,2.95,5.03
