scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
7,1286.793,518.278,1.0,1278.819,559.752,1.0,1278.649,601.626,1.0,,,,,,,,,,1176.519,653.629,0.9990000128746033,1175.052,693.295,0.9950000047683716,1179.409,739.247,1.0,299.139,427.233,0.9860000014305115,373.928,552.816,0.9520000219345093,445.855,668.923,0.9620000123977661,192.858,181.655,0.9919999837875366,189.222,245.24,0.9929999709129333,160.843,332.979,0.996999979019165
8,1286.397,518.899,1.0,1280.165,559.042,1.0,1279.12,601.686,1.0,,,,,,,,,,1177.197,653.494,0.9990000128746033,1175.052,693.295,0.9980000257492065,1179.409,738.913,1.0,297.398,427.195,0.9290000200271606,371.111,548.942,0.9139999747276306,445.678,668.882,0.8669999837875366,192.858,181.185,0.9900000095367432,189.271,245.168,0.9919999837875366,160.843,332.979,0.9909999966621399
9,1286.397,518.899,1.0,1280.618,558.833,1.0,1279.138,601.626,1.0,,,,,,,,,,1178.409,653.265,0.9959999918937683,1175.052,693.295,0.9950000047683716,1179.582,738.602,0.9990000128746033,297.398,427.183,0.9599999785423279,371.111,548.942,0.9570000171661377,445.582,668.882,0.871999979019165,192.858,181.185,0.9919999837875366,189.273,245.089,0.9909999966621399,160.916,332.979,0.9919999837875366
10,1286.397,518.899,1.0,1280.878,558.833,1.0,1280.114,601.506,1.0,,,,,,,,,,1178.409,653.017,0.9980000257492065,1174.975,692.778,0.9860000014305115,1178.194,738.602,1.0,297.398,426.439,0.9350000023841858,371.111,548.942,0.9679999947547913,444.596,668.821,0.8949999809265137,192.796,181.185,0.9929999709129333,189.355,245.089,0.9909999966621399,160.916,333.123,0.9929999709129333
11,1286.708,518.901,1.0,1280.878,558.958,1.0,1280.353,601.048,1.0,,,,,,,,,,1177.26,650.838,0.9990000128746033,1176.314,691.566,0.9850000143051147,1176.414,738.602,1.0,301.292,421.996,0.9890000224113464,374.326,549.353,0.9860000014305115,443.709,668.821,0.8999999761581421,192.385,181.623,0.9940000176429749,189.355,243.428,0.9940000176429749,161.188,333.161,0.9909999966621399
12,1286.708,518.901,1.0,1280.891,558.958,1.0,1281.014,600.816,1.0,,,,,,,,,,1177.197,648.537,0.9980000257492065,1176.314,691.558,0.9959999918937683,1176.822,738.602,1.0,301.399,421.996,0.9929999709129333,374.472,549.353,0.9819999933242798,443.709,668.759,0.9300000071525574,192.313,182.152,0.9940000176429749,189.401,243.356,0.9940000176429749,161.188,333.248,0.9919999837875366
13,1287.026,518.611,1.0,1281.0,558.79,1.0,1280.353,600.816,1.0,,,,,,,,,,1172.616,648.537,1.0,1174.975,691.558,1.0,1175.957,734.465,1.0,301.399,421.76,0.9919999837875366,374.472,549.353,0.9869999885559082,443.709,668.711,0.9620000123977661,192.313,182.152,0.9940000176429749,189.355,242.982,0.9950000047683716,161.296,333.248,0.9909999966621399
14,1287.026,518.901,1.0,1281.94,558.686,1.0,1280.114,600.96,1.0,,,,,,,,,,1168.209,648.537,1.0,1171.691,691.558,1.0,1175.808,734.465,1.0,302.067,421.76,0.9890000224113464,374.472,548.374,0.9890000224113464,443.952,668.509,0.9200000166893005,192.368,182.152,0.9940000176429749,189.355,242.816,0.9950000047683716,161.347,333.161,0.9909999966621399
15,1286.708,518.901,1.0,1283.089,558.686,1.0,1279.76,600.816,1.0,,,,,,,,,,1167.72,650.265,0.9980000257492065,1169.803,691.986,1.0,1168.332,734.465,1.0,301.399,421.76,0.9950000047683716,373.206,547.476,0.9860000014305115,444.051,668.711,0.9520000219345093,192.313,181.839,0.9929999709129333,189.33,242.642,0.9940000176429749,161.347,333.056,0.9909999966621399
16,1286.539,518.445,1.0,1283.742,558.686,1.0,1279.76,600.96,1.0,,,,,,,,,,1167.72,650.883,1.0,1169.803,693.95,0.9990000128746033,1168.135,734.465,1.0,301.285,422.115,0.9929999709129333,371.954,546.746,0.9589999914169312,444.524,668.711,0.9649999737739563,192.248,181.291,0.9940000176429749,189.33,242.642,0.9940000176429749,161.38,332.92,0.9919999837875366
