scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
7,1465.217,519.695,1.0,1464.287,559.135,1.0,1468.119,600.121,0.9990000128746033,,,,,,,,,,1384.024,653.784,0.9990000128746033,1370.019,694.035,1.0,1368.16,739.629,1.0,510.088,430.718,0.9850000143051147,575.884,548.034,0.9850000143051147,632.038,669.94,0.9860000014305115,457.349,180.057,0.9879999756813049,464.148,246.35,0.9959999918937683,441.284,334.77,0.996999979019165
8,1465.085,519.695,1.0,1464.459,559.548,1.0,1468.147,600.121,0.9980000257492065,,,,,,,,,,1384.024,653.793,0.9950000047683716,1369.585,694.035,0.9980000257492065,1368.16,739.515,0.9980000257492065,510.088,429.703,0.996999979019165,575.187,554.052,0.9919999837875366,629.089,670.195,0.9850000143051147,457.342,180.989,0.9890000224113464,462.992,245.823,0.9950000047683716,442.884,336.32,0.996999979019165
9,1465.085,519.59,1.0,1464.516,559.868,1.0,1468.119,600.456,0.9980000257492065,,,,,,,,,,1383.106,653.784,0.996999979019165,1369.585,694.035,0.9990000128746033,1368.16,738.588,0.9990000128746033,511.099,429.392,0.996999979019165,575.957,555.701,0.9950000047683716,627.167,669.94,0.9779999852180481,457.365,180.989,0.9890000224113464,462.881,245.823,0.9950000047683716,442.902,336.32,0.996999979019165
10,1465.043,519.59,1.0,1464.516,560.082,1.0,1467.791,600.456,0.9990000128746033,,,,,,,,,,1382.513,653.594,0.9990000128746033,1369.585,693.71,0.9990000128746033,1366.765,737.914,0.9980000257492065,511.099,429.392,0.9980000257492065,576.828,557.613,0.996999979019165,627.167,669.94,0.9729999899864197,457.342,180.989,0.9879999756813049,462.704,245.823,0.996999979019165,442.981,336.32,0.996999979019165
11,1462.879,518.962,1.0,1464.516,560.085,1.0,1467.625,600.744,0.9990000128746033,,,,,,,,,,1380.607,653.327,0.9990000128746033,1369.357,693.463,1.0,1365.653,737.54,1.0,511.099,429.392,0.9980000257492065,581.8,558.284,0.9919999837875366,629.089,669.468,0.9610000252723694,457.302,180.691,0.9929999709129333,460.953,247.752,0.9959999918937683,443.668,335.707,0.9950000047683716
12,1462.128,518.917,1.0,1464.147,560.085,1.0,1467.037,600.744,1.0,,,,,,,,,,1371.981,651.877,0.9950000047683716,1369.357,691.979,1.0,1365.653,736.924,1.0,508.769,430.588,0.9990000128746033,581.8,558.284,0.9869999885559082,629.089,669.452,0.9330000281333923,456.658,180.145,0.9900000095367432,460.953,247.752,0.996999979019165,443.668,335.707,0.9950000047683716
13,1462.128,518.917,1.0,1463.681,560.082,1.0,1467.025,600.363,1.0,,,,,,,,,,1371.113,644.501,0.9980000257492065,1369.357,691.979,0.9929999709129333,1362.941,732.413,1.0,508.131,431.366,0.9980000257492065,582.055,558.284,0.996999979019165,629.706,669.251,0.9279999732971191,456.637,180.145,0.9879999756813049,460.853,247.752,0.996999979019165,443.668,335.686,0.9950000047683716
14,1462.879,518.962,1.0,1463.681,559.072,1.0,1467.025,600.072,1.0,,,,,,,,,,1371.113,644.501,1.0,1369.644,691.979,0.9959999918937683,1362.081,732.346,1.0,507.293,431.366,0.9980000257492065,582.055,558.119,0.9940000176429749,629.874,669.01,0.9259999990463257,456.637,180.061,0.9879999756813049,460.953,247.752,0.9980000257492065,443.511,335.686,0.9959999918937683
15,1462.128,519.296,1.0,1463.21,559.072,1.0,1467.037,600.363,1.0,,,,,,,,,,1371.113,644.501,0.9980000257492065,1370.188,692.859,0.9990000128746033,1362.081,732.305,1.0,506.418,431.366,0.9980000257492065,583.917,556.512,0.9919999837875366,629.874,668.753,0.968999981880188,456.658,180.145,0.9909999966621399,460.958,247.752,0.9980000257492065,443.511,335.686,0.9950000047683716
16,1462.395,519.567,1.0,1463.102,559.072,1.0,1466.994,600.363,1.0,,,,,,,,,,1371.685,645.806,0.996999979019165,1371.409,692.914,1.0,1362.233,732.305,1.0,506.418,431.246,0.9980000257492065,588.395,556.305,0.996999979019165,629.706,668.734,0.9490000009536743,456.715,180.274,0.9909999966621399,461.064,247.67,0.996999979019165,443.511,335.668,0.9959999918937683
