individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,cup,cup,cup,cup,cup,cup,tap,tap,tap,tap,tap,tap,time_stamp
pose,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,x,y,z,X,Y,Z,
0,410.22866784355847,29.948608902755872,741.5692929222229,0.1948625064557059,0.6095823170552789,0.7683996371103499,236.8701881933406,139.96727354442208,834.4653612768668,0.06735664703047095,0.9584721051765681,-0.27711785525153443,-171.72456730532983,76.18326258636449,874.2341608271337,0.00487672415079599,0.8899240114844027,0.45608274616023986,-163.93828599416435,116.77566753619921,862.6086996020106,0.11318923197172512,0.6895931914278928,0.7152967412912943,502.3756829112813,-267.5079317594526,764.1092421149842,-0.5847826089818539,0.18546129486427537,-0.789704633606542,0.0
1,405.181416314337,33.141338953462345,734.7954952095417,0.15639954400505923,0.6551609975077525,0.7391232982254425,236.74827942665812,140.40116298691882,832.9494637740493,0.09447057852090457,0.9723814801244105,-0.2134234450686858,-170.08870122109886,79.41641564367482,875.4565504027147,0.08109744071121229,0.93163855280401,0.35422141668642987,-163.9418642291095,116.60095250062827,864.1196496075481,0.14792922776148382,0.7303566020629861,0.6668554396545775,860.0888832203927,-448.5644821806882,1304.6593116195036,-0.5528691643147029,0.2319549682631788,-0.8003327931854286,0.03333333333333333
2,404.77818427822535,24.1815538659719,735.9603350513188,0.2601932424477973,0.5213759281717143,0.8126909733149404,237.77471583782147,141.83053225413914,834.2972485537597,0.06357796408670847,0.9534473574872177,-0.2947812391982081,-170.2987827600506,79.51450518575892,876.537852441437,0.06591429500577678,0.9099436308556321,0.40946049184159444,-164.35585073758978,116.81777266935134,866.1429576662555,0.1715148844704582,0.7725253985716121,0.6113813482327192,819.5375458734788,-426.422738007411,1242.991097178646,-0.5497463671838041,0.2409931520851689,-0.79981324846258,0.06666666666666667
3,412.1044218229455,24.460391488845794,744.4466974866112,0.17146133995422286,0.601988966031814,0.7798783839016504,236.55222340291294,140.35846819055266,833.3542648448229,0.06381894448336056,0.9551906230809161,-0.2890294377798242,-172.40425808722347,79.61942100755411,877.6944048076832,-0.06024995192048066,0.8589104283552293,0.5085693849969897,-164.18460328491759,116.40703085132026,862.2045057733021,0.10847128629891288,0.7015598456463293,0.7043065831194237,755.2827991804286,-394.4054033501558,1146.6040723107835,-0.5516878605371269,0.23765273437290027,-0.7994758797994167,0.1
4,406.25057606818746,24.63713170994169,733.8720083812419,0.1391107782257438,0.6757985802312738,0.7238400861646325,236.51228449899912,140.50944816675465,832.1262828889503,0.06727579956883345,0.9652759300764323,-0.25242096903279004,-170.35346653089547,79.54003768170486,876.8193130266679,0.015643552472599867,0.8569230059126914,0.5152069886983235,-163.65916733322058,116.38022883153604,859.5240932697068,0.09767767442263073,0.6800428244203481,0.7266366553331741,692.7256965476264,-361.04851605501045,1049.7595642353754,-0.5535528523152073,0.2313324655742204,-0.8000403302740747,0.13333333333333333
5,405.888911785355,24.64700110324507,734.1659903094277,0.24664944182986637,0.5071572854195279,0.825805994584025,236.4010295502037,140.4582180846292,831.726994380248,0.07057753850184335,0.9679149971143436,-0.24116253734807414,-169.76087615547942,79.55583495109182,876.9934561537682,0.054617218929553894,0.8913024356374354,0.4501076844747008,-163.07117269479164,116.13024226528417,859.7086091479116,0.09114239243361248,0.6743304417991073,0.732783405628497,707.9241243041306,-367.48070126566915,1073.163987432506,-0.5519888115158318,0.23186087447116482,-0.8009674692837445,0.16666666666666666
6,405.30287529374596,24.08776778231565,733.1059759835199,0.2538600875012106,0.50267002530276,0.8263642669162313,236.87653159353346,140.3961973970211,833.3975356846415,0.04409851944121565,0.9621368797133167,-0.2689757336240865,-172.1188291023941,76.35817145633483,876.2413117940064,-0.026406652160954627,0.877252540828197,0.4793022724045055,-163.8376495784442,116.36920662079001,861.946216718781,0.10103557294999775,0.703555145905583,0.7034216158666433,644.0306514710174,-337.0172825706853,977.4630938482406,-0.5577636486022387,0.22305948502431153,-0.7994649325884203,0.2
7,406.80447547615364,24.145814028262023,734.8726008601485,0.25011303638555243,0.48391899298422936,0.8386094903225987,237.06901489937678,140.4974640876156,831.9887231501507,0.06939445822307037,0.9671340848285186,-0.24461412700584234,-172.10586957166836,76.35242213724923,876.1753360012208,-0.01991926063635551,0.8912817775391982,0.4530121588680244,-165.1214956413302,117.23085316331844,866.8671801423689,0.14882643937215215,0.7648686121569507,0.6267588827299597,391.07206596905587,-212.20964820026285,606.3132805721797,-0.5790795976466135,0.20748093096701087,-0.7884278552121929,0.23333333333333334
8,404.07146777111427,24.536639515817022,730.8786238754006,0.2371300830440429,0.5121943911969981,0.8254854507148275,236.8629664196249,140.2555830775825,832.2982580163289,0.06135546490743936,0.967140199215982,-0.24672928887033765,-172.13225743704254,76.36412875388795,876.3096742249438,0.004089813024737773,0.898044415850618,0.4398857812989016,-165.82997583276767,117.30821918321828,870.3913654004059,0.18329940798893965,0.8148645348361765,0.5499064619525088,505.32087998520797,-269.4836379576384,769.9398942850435,-0.5804878970520064,0.17998782134233188,-0.7941273106653494,0.26666666666666666
