scorer,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,cup3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,tap3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,teabag3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d,pitcher3d
individuals,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,cup,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,tap,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag1,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,teabag2,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,top_left,top_left,top_left,bottom_left,bottom_left,bottom_left,bottom_right,bottom_right,bottom_right,top_right,top_right,top_right,center,center,center,tip,tip,tip,top_handle_inner,top_handle_inner,top_handle_inner,top_handle_outer,top_handle_outer,top_handle_outer,bottom_handle_outer,bottom_handle_outer,bottom_handle_outer
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-23.307446197087472,166.22757664635603,704.4722225959523,,,,-87.3345981683972,205.60352282317226,657.5340286799615,-80.76960282376835,160.05135992593577,682.1063019749843,-57.585486211910705,167.75437928816066,743.6556193302405,-54.08946493427868,148.00294969609695,730.2023795753516,,,,,,,,,,304.5686715240363,-100.61811982555759,502.6035094488347,294.63146510751665,-112.34495423889753,512.3551619421714,294.6827518595453,-129.73017014370646,536.8399848565848,,,,,,,-158.6283926543477,-143.8873802322029,1628.4284077995155,-345.3643345148304,-358.0222486293398,2685.0609927087144,-168.6790457421948,-148.794669343531,1462.8454760906625,-66.35031719041756,-81.55340373286043,698.4359140025152,,,,-34.12252388456637,-60.42318916207595,693.1124039015068,-29.057447815725958,-77.807181546096,580.275826074068,-52.82557525659775,-72.2306158220779,705.7829958190067,152.00907226311455,-85.98450173285485,717.7641399198807,74.12846641619889,-16.199769969897797,670.2904742286571,51.222659837052866,12.424140665994685,663.8697965900001,57.376715733632345,61.19598906927195,727.7170628105202
1,-22.184625290944364,165.68770609367127,699.9201525100906,-26.45164423915368,210.35191167035032,676.317598062283,-87.51941585351362,206.11231195825582,658.9226460993693,-80.38477797833913,159.78921568828474,680.7959856436421,-57.65658307785231,169.01801141901285,744.6295827817398,-54.09952977240236,148.08243295299027,730.3355589783913,,,,,,,,,,304.5377395322495,-100.34225394415282,502.51753950687595,294.63146510751665,-112.34495423889753,512.3551619421714,294.67983482650743,-129.35427303060115,536.7093915910687,,,,,,,-158.7366629041524,-143.09724894403863,1629.5411941950513,-331.71520463359946,-346.6302633768586,2606.2548519090424,-167.7315659543497,-148.0159681788554,1458.385727012041,-66.35031719041756,-81.55340373286043,698.4359140025152,,,,-33.781144246796785,-59.90195151302806,691.7654789831319,-28.920407448255077,-77.754006459491,579.8797321069939,-52.60793155824813,-71.82658070178003,704.8861705572994,152.07384117228776,-85.95442350199136,717.513605045325,74.21707809322221,-15.017069618833057,671.0657334268843,51.22158537058936,13.121263806184773,663.856501155347,57.37634878315677,61.6036112746441,727.7056575184903
2,-22.02021272506699,165.79600000545253,699.1025929749164,-26.456817462286875,210.4368847949678,676.445739234084,-87.58983573592428,206.600595422749,660.0135667755213,-80.34280323341581,159.8809500011874,681.1860427410318,-57.65565210618133,169.12783591259486,744.6232736716682,-53.77638670935558,148.00720452314368,729.710515891524,,,,,,,,,,304.5081508048268,-100.31338534098757,502.43672524189486,294.33522048953677,-112.03447270935807,511.4836071747052,295.3751354920525,-129.40765482689383,537.8136637556329,,,,,,,-158.73521360285778,-142.77564127179664,1629.524585301964,-331.61532534951175,-346.00631207679265,2605.6645820714707,-167.76645104068515,-148.04675278182924,1458.6890444589533,-66.35031719041756,-81.55340373286043,698.4359140025152,,,,-33.62236585442345,-59.8399200800323,691.0501467477078,-28.802750592298985,-77.6924124613296,579.4207589328919,-52.58303159427326,-71.79316933546305,704.7838416367039,152.12322593601218,-85.88035672880501,717.634761925615,74.21698222350201,-14.901950793841339,671.0619327265689,51.78247262048116,13.239451301825218,669.0770270067103,57.43567901588913,61.673025993345426,728.4579239022534
3,-21.983707088704737,165.5886297909066,697.934338524793,-26.458141524642546,210.20270967356748,676.4572198906881,-87.74017915701671,206.84412354464655,660.5857642929349,-80.3852389718535,160.08477811226092,681.8751637567385,-57.57505361249001,168.95609338268616,743.5855996661361,-54.0115573692245,148.60233350718488,732.9043324437401,,,,,,,,,,304.46895914074724,-100.28253794844586,502.37204004430174,293.98629519279024,-111.95447273492375,510.9844875458947,295.43869068295163,-129.42231956036707,538.0087637448321,,,,,,,-158.94666289536093,-143.20099844987396,1630.3765581321136,-327.1325443928646,-341.12959768865704,2572.9403265189007,-167.77169831135254,-148.26804109417964,1458.7208181459634,-66.178059449374,-81.4162565671836,696.4673858708987,,,,-33.345862941812086,-59.72806553049673,689.7601845868985,-28.7957309196156,-77.79223828403032,579.2769147558125,-52.35672843635221,-71.65361197896932,703.189560844194,152.1234543814373,-85.9691306878768,717.6364840746295,74.12143522613805,-14.848954926373862,672.1791088559064,51.66834611868858,13.338476548456832,667.9576517467844,57.376356377356416,61.85084227936018,727.696052738343
4,-22.111647241483084,165.50405439024772,697.5843549351532,-27.078131678196605,210.79948674382678,679.767003018913,-88.08111155114406,207.41735190214825,661.6564559065838,-80.32033348685123,160.03051534345647,681.6706763904094,-57.423305095508766,168.8968419161417,741.6366127357475,-54.01121361095463,148.6462126772718,732.90192248684,,,,,,,,,,304.4590233194416,-100.28008028911135,502.34789646309423,294.1143882118138,-112.14778934964501,511.4559809380384,295.75010227724135,-129.49921051154004,538.5756850250991,,,,,,,-160.08777073036373,-143.493158972427,1638.6225963466763,-325.91393057418657,-339.5640459919209,2565.071534044623,-167.7804508182167,-148.39214034466568,1458.7680381452008,-66.178059449374,-81.4162565671836,696.4673858708987,,,,-33.221803775759724,-59.994271313467166,689.053906229842,-28.795463643432036,-77.87005564635365,579.2775058848384,-52.33477033522198,-71.63504240632233,702.8936684491255,152.2618131131165,-85.91378816019952,717.1756005543671,73.89386052347471,-14.96099220567188,675.5205148531819,51.26385217131152,13.411467815888901,663.4377439032191,57.34552833988464,61.92148039352117,727.3062906437121
5,-22.259476081907824,165.64482891681143,698.3044232820671,-27.16137547269674,211.018949130365,681.8719141217703,-88.2199460018857,207.7571845408525,662.152311028593,-80.43548627563484,160.18120426061296,682.9485410391317,-57.14026535930904,168.2307510977535,738.9057721592928,-54.00739949871953,148.61967714307679,732.8464215161422,,,,,,,,,,304.38507897751964,-100.25142709537572,502.22586959950405,294.2883931020834,-112.3577249300334,511.98489174013724,295.79856461347276,-129.52043056939797,538.6639373561511,,,,,,,-160.6559791891401,-143.63759269536064,1640.3623948396812,-322.98637749209865,-336.6358542283329,2542.9454434156323,-168.33971533010526,-148.5552565898679,1461.8968905497075,-66.11604340755146,-81.51837752782879,695.8344805018893,,,,-33.06791289786125,-59.981321863690994,688.1525926043892,-28.795463643432036,-77.87005564635365,579.2775058848384,-52.32164442741838,-71.75039021558653,702.8426348663972,152.61401694996144,-85.96208999690207,718.3193466479919,73.9252698429556,-14.969314992458001,675.8958847774355,51.668368001518175,13.179130943322411,667.9628966431957,57.34171506799412,62.007513075111426,725.8398805799491
6,-22.711989167200056,166.07563122561695,700.5312438702954,-27.41061512978123,213.04167549739955,688.120112320773,-88.39373141300405,207.96341939322835,662.7051931969864,-80.66144320068967,160.66805618407196,685.0836636008721,-56.66957488194511,167.37667997987984,736.7694081184547,-54.00663658943359,148.71703373447772,732.841073828248,,,,,,,,,,304.3922052177007,-100.25531052055173,502.2453194084202,294.2883931020834,-112.3577249300334,511.98489174013724,295.7351684476944,-129.48054969622186,538.4693543963006,,,,,,,-160.66511369684181,-143.35897908227003,1640.285956162617,-322.98861023594446,-336.6968501856581,2542.9597531066715,-168.90448438545292,-148.8869997321975,1464.7633193519068,-65.87923746044036,-81.44329898397766,694.6568063268678,,,,-33.00805191006978,-59.89681489774576,686.9079836997382,-28.794571231875018,-77.7292189240783,579.2694820113904,-52.322026944712306,-71.81773704791682,702.845633205547,152.66878887895047,-85.95574280994427,718.5768633594305,73.9567302838514,-15.008115255230225,676.187604293541,51.683569435597214,13.130913457759895,667.8156111485974,57.52101984870586,61.874162608726,723.7580155487323
7,-22.71261656843385,165.97231339960246,700.5441842252152,-27.40907398421419,212.5801767875993,688.123376182598,-88.8316539116797,208.41605804940224,664.0419327336756,-80.69704519805295,159.0333208464794,685.2385461005535,-56.5347038407126,167.46863502568098,736.2013963120205,-54.91329604528192,149.49680065478145,736.6648878553506,,,,,,,,,,304.280172758694,-100.2533944808241,502.11599577514266,293.71003052623456,-112.21613380972644,510.9785869713032,295.7073883593531,-129.3320909506471,538.3833963311423,,,,,,,-159.8752602115024,-142.29706394536822,1632.2253647580533,-322.98723017589055,-336.79822932014025,2542.9543970710524,-169.3809675096622,-149.0923466712044,1467.1799033801185,-65.68118716950606,-81.25042276690411,693.235906387987,,,,-33.13112173010926,-59.97813459076976,687.17442947674,-28.260714441645572,-76.32000977887748,570.6366340303629,-51.64122211475605,-72.55874584542751,701.6720020175585,152.78450842216304,-86.00601303718543,719.1216416700927,74.01323573824268,-15.054120029060297,676.6168335330992,51.45036002125924,13.336986131240444,663.7463859719339,57.52102144666656,61.96033999831856,723.754686917228
8,-22.71193947549528,165.87551594290127,700.5356660943086,-27.372956823043427,212.5821508839396,688.1294893913412,-88.8253345916085,208.50053809276793,663.9987638624269,-80.75376254592189,159.10543844446934,685.7262839741168,-56.49626313667571,167.44424945352458,735.696443572707,-54.82975472663664,149.26111557005018,735.5437678324205,,,,,,,,,,304.280054767387,-100.316933602582,502.11605831202115,293.5061212648761,-112.18790145367153,510.64049427527414,295.42771051053535,-129.20698456039574,537.8602110233941,,,,,,,-159.95597469371026,-142.2016067407694,1632.6929394115539,-324.24693776366587,-338.75119088048143,2552.906271838275,-170.81007655744278,-149.71359058816515,1474.4015004158214,-65.60634190169898,-81.41249476494188,692.9600649950643,,,,-33.19042238111849,-59.95909446690332,687.4400045243584,-28.25441181845055,-76.08940416003092,570.6075898793331,-51.73481290572625,-72.72727132002206,702.9468459101356,152.81217439674157,-86.0361943100191,719.4017751102765,74.26184251645866,-15.05957607664995,676.5797453200197,51.51471037816881,13.228671360814467,663.1255569152852,57.404741467580656,61.85041496963355,726.61839502392
9,-22.4112794762666,165.66120827708207,699.6281974034539,-27.371678787394583,212.80965830355328,688.1182834133868,-88.82410239416761,208.68469118737661,663.9912417332877,-80.47169030312371,158.92899234912483,684.7855915552211,-56.535656925903766,167.47456132406668,736.2052679499224,-54.85040871822556,149.21374214275048,735.7389532354016,,,,,,,,,,304.40134358327094,-100.38667080449936,502.3162960720824,293.612131510673,-112.26916572287055,510.9531825346699,294.85446675938243,-128.95569979083325,536.8165573701849,,,,,,,-159.95531090097015,-142.0350023702006,1632.6848578113584,-324.2447232307019,-338.92059183680334,2552.8978347148013,-171.27158058460256,-149.87460856658794,1476.7411789287573,-65.56693356052362,-81.3635920137603,692.5438186488431,,,,-33.20765862429616,-59.86226812877847,687.2100650264373,-28.24529533629415,-76.01778741332855,570.305827239558,-51.82910788819469,-72.8754729004263,704.2294221246756,152.95144574600155,-86.33266986821897,722.1544076593436,74.31510300874714,-15.035350997175264,675.7903158335395,51.79788197232628,12.907862374190158,666.7592754738132,57.284577081419364,61.38008756845453,726.5290265477139
10,-22.304971147487052,165.4790674438267,699.1065132960777,-26.10425446235929,211.06262586836982,682.014725762993,-88.78948957786322,208.51000237860796,663.7986343019302,-80.86013532125915,159.28945770787578,686.0881936242962,-56.49666247815827,167.26956882772433,735.7018988243003,-54.84970775900863,149.29292213041384,735.7342663685512,,,,,,,,,,304.370002486147,-100.37419321191298,502.20715988155376,293.8302002782585,-112.30317637105246,511.3328302923417,294.58010271359916,-128.7451679884825,536.2504616978421,,,,,,,-159.87423705424845,-142.13554251283563,1632.215319390699,-327.8564038794692,-342.13103209463713,2579.392943656868,-171.27182199868895,-149.82415500503484,1476.741210456422,-65.49304035620621,-81.13027933845899,691.7516758425135,,,,-33.306204338752075,-59.937342441482606,687.9588721368001,-28.24529533629415,-76.01778741332855,570.305827239558,-52.5004110757194,-73.1585664449778,707.2156125532631,152.96429373978685,-86.35484246998497,722.436777101808,74.3352719911234,-15.00233168833981,675.490284447564,51.827200106447826,13.047755180492212,666.4672111861858,57.33725830322142,61.55454658527579,728.5958819413771
