scorer,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan
individuals,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,tail,tail,head,head,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
17,5.392663398528985,1.0,2.2515010854496986,1.0,0.4619642683567827,1.0,1.7214998642532484,1.0,2.0121097411070155,1.0,3.3233180331660908,1.0,3.052218814068862,1.0,2.6032474569939343,0.9629999995231628,2.9982190526981185,0.9279999732971191,8.311413045108484,0.9739999771118164,5.402570169276301,0.9980000257492065,4.024513588323321,0.9929999709129333,3.4285756790056237,0.9950000047683716
18,2.361383617820073,1.0,1.407452211788795,1.0,0.9247917379321122,1.0,1.9305656377672429,1.0,2.4824969967030275,1.0,2.503045927721515,1.0,1.271616235176915,1.0,5.16489799424156,0.9810000061988831,8.3106178775038,0.9049999713897705,3.558673326328636,0.9789999723434448,2.483542062600172,0.9980000257492065,3.6405799322306738,0.9929999709129333,4.309225506175948,0.9950000047683716
19,1.690801567578198,1.0,4.722720608909256,0.9990000128746033,2.0432690677958356,1.0,1.8824247764865791,1.0,2.219728113067613,1.0,2.6774969016402506,1.0,1.6586683421883008,1.0,7.174650549162881,0.9700000286102295,5.487820730330406,0.9599999785423279,1.3876747782829688,0.9649999737739563,1.556358512985953,0.9980000257492065,5.070935264456423,0.9919999837875366,2.037040267335133,0.9959999918937683
20,2.8025999749645325,1.0,3.259433105076069,0.9990000128746033,1.2560324135213932,1.0,1.1187793064107976,1.0,0.7909120410485743,1.0,4.586513567381844,1.0,3.8934812495873823,1.0,3.0210980710896753,0.996999979019165,2.4270571543214796,0.9210000038146973,2.8564168000259986,0.9620000123977661,3.897932630130745,0.9980000257492065,3.77542066423704,0.9929999709129333,7.258594221784102,0.9959999918937683
21,5.328422227091738,1.0,2.114043238846188,0.9990000128746033,0.8793301189604688,1.0,0.4364507611959195,1.0,0.9738588084948048,1.0,1.801355709413019,1.0,1.4403623058188835,1.0,2.8829109297404427,0.996999979019165,4.73025730282925,0.9369999766349792,7.4293625898576385,0.9769999980926514,1.9761557930483942,0.9980000257492065,1.4848816896634336,0.9929999709129333,5.627021373814041,0.9959999918937683
22,3.5448790216653348,1.0,2.021546178619226,0.9990000128746033,2.8790123802803786,1.0,2.7578455185007793,1.0,1.6207817303736183,1.0,1.434629958088376,1.0,2.611830807362829,1.0,1.4718182424348314,0.9890000224113464,10.020535752389522,0.9359999895095825,7.949535593548479,0.9459999799728394,4.274774951469264,0.9980000257492065,5.556585864622925,0.9929999709129333,6.481705168718407,0.9959999918937683
23,3.451959862287212,1.0,4.584548362018495,0.9990000128746033,2.787304777000374,1.0,1.320917900005878,1.0,5.579878360213722,1.0,0.24918529630697162,1.0,1.4920869432540327,1.0,2.9401500532958664,0.9890000224113464,1.5926985019075575,0.9679999947547913,11.029003472169343,0.9639999866485596,3.025033644238223,0.9980000257492065,5.480895430638057,0.9929999709129333,2.2559600578931684,0.9950000047683716
24,4.515720854416883,1.0,3.968043921945837,0.9990000128746033,2.483754934322688,1.0,0.9662910765693051,1.0,2.6410963029449364,1.0,2.87523075885506,1.0,1.3849697879620755,1.0,2.075433619326704,0.9869999885559082,8.548033103934362,0.9350000023841858,3.011580306572627,0.9620000123977661,3.4101324914348683,0.9980000257492065,2.8767342249935193,0.9919999837875366,0.40779785172244204,0.9950000047683716
25,5.108574062241886,1.0,4.967538229007068,0.9990000128746033,2.3374218862082645,1.0,1.7592378264930348,1.0,3.330470713840961,1.0,0.5988310902822946,1.0,1.148374926642358,1.0,2.9174401770868594,0.9940000176429749,6.679437999596066,0.9200000166893005,10.02880606485291,0.9679999947547913,4.840508094563615,0.9980000257492065,2.4114599850359273,0.9909999966621399,5.873281413325013,0.9959999918937683
26,3.943837278694913,1.0,1.855978773836707,0.9990000128746033,1.7377549191466086,1.0,2.327473331358939,1.0,0.6128625939341322,1.0,0.849725205323523,1.0,1.3580416857744166,1.0,6.555068962716313,0.9900000095367432,6.676749573334197,0.9129999876022339,1.5973494588830637,0.984000027179718,4.46036024848698,0.9980000257492065,4.179424183033068,0.9919999837875366,4.912785382716871,0.9950000047683716
