scorer,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000,DLC_resnet50_make_tea_multiNov11shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,middle,middle,middle,tail,tail,tail,head,head,head,middle,middle,middle,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
7,1466.502,516.562,0.17800000309944153,1464.378,559.982,0.9990000128746033,1465.044,601.722,0.9980000257492065,,,,,,,,,,1221.282,442.319,0.9990000128746033,1225.598,496.071,0.9909999966621399,1223.946,540.408,0.9990000128746033,508.44,430.883,0.9980000257492065,565.919,549.729,0.984000027179718,629.833,669.671,0.859000027179718,457.217,180.944,0.9890000224113464,459.725,248.466,0.9769999980926514,443.215,333.486,0.9900000095367432
8,1466.502,515.83,1.0,1464.378,560.242,1.0,1464.021,601.413,1.0,,,,,,,,,,1221.127,442.174,1.0,1225.861,490.101,0.9990000128746033,1221.99,540.529,1.0,506.869,430.837,0.9860000014305115,572.461,554.08,0.972000002861023,629.641,670.736,0.9480000138282776,457.334,180.471,0.9909999966621399,460.77,248.544,0.9860000014305115,441.863,335.113,0.996999979019165
9,1466.502,515.809,1.0,1464.378,561.978,1.0,1463.981,601.335,1.0,,,,,,,,,,1221.245,442.174,1.0,1225.81,490.101,1.0,1221.545,540.529,1.0,506.466,430.837,0.9940000176429749,573.669,555.618,0.9649999737739563,629.044,670.752,0.9739999771118164,457.334,180.407,0.9909999966621399,460.879,248.544,0.9850000143051147,441.841,335.204,0.996999979019165
10,1466.091,515.298,1.0,1464.325,562.05,1.0,1463.981,601.335,1.0,,,,,,,,,,1221.127,442.174,1.0,1224.698,490.101,1.0,1221.473,540.529,1.0,506.466,430.697,0.9940000176429749,573.991,555.689,0.9750000238418579,628.512,670.776,0.9480000138282776,457.432,180.407,0.9869999885559082,460.886,248.76,0.984000027179718,441.841,335.204,0.996999979019165
11,1466.078,515.064,1.0,1464.325,562.05,1.0,1464.021,601.335,1.0,,,,,,,,,,1221.245,442.257,1.0,1224.337,491.094,1.0,1220.803,540.837,1.0,506.869,430.697,0.9950000047683716,578.098,556.653,0.9639999866485596,628.512,670.776,0.9750000238418579,457.493,180.407,0.9909999966621399,461.141,248.76,0.9819999933242798,441.841,335.185,0.996999979019165
12,1465.892,514.957,1.0,1464.274,562.05,1.0,1464.196,601.335,1.0,,,,,,,,,,1221.245,442.45,1.0,1223.724,491.927,1.0,1219.741,541.007,1.0,506.869,430.697,0.996999979019165,578.265,557.144,0.9779999852180481,629.044,670.776,0.9760000109672546,457.646,180.494,0.9900000095367432,461.149,248.859,0.9879999756813049,442.71,335.185,0.996999979019165
13,1466.078,514.957,1.0,1464.274,561.958,1.0,1464.327,601.356,1.0,,,,,,,,,,1222.079,442.865,1.0,1223.724,493.413,1.0,1217.405,541.007,1.0,507.662,430.27,0.9959999918937683,578.381,557.144,0.984000027179718,629.091,670.809,0.9779999852180481,457.493,180.494,0.9900000095367432,461.209,248.861,0.9890000224113464,442.851,335.185,0.996999979019165
14,1466.091,514.834,1.0,1464.084,561.932,1.0,1464.327,601.356,1.0,,,,,,,,,,1222.079,443.21,1.0,1223.724,493.413,1.0,1216.926,541.102,1.0,508.153,430.16,0.9980000257492065,578.461,557.205,0.9850000143051147,629.871,670.776,0.9520000219345093,457.493,180.494,0.9909999966621399,461.328,248.994,0.9909999966621399,442.92,335.146,0.996999979019165
15,1466.484,514.639,1.0,1464.131,561.924,1.0,1464.327,601.297,1.0,,,,,,,,,,1222.079,443.335,1.0,1223.724,493.413,1.0,1216.333,541.102,1.0,508.827,429.982,0.9950000047683716,578.461,558.209,0.9929999709129333,629.871,670.443,0.9679999947547913,457.72,180.279,0.9919999837875366,461.427,248.994,0.9909999966621399,442.932,335.146,0.9980000257492065
16,1466.54,514.957,1.0,1464.131,561.924,1.0,1463.99,601.243,1.0,,,,,,,,,,1222.075,443.636,1.0,1223.724,492.375,1.0,1216.333,541.102,1.0,508.827,429.727,0.9940000176429749,579.044,560.429,0.9539999961853027,629.816,670.443,0.9570000171661377,457.436,180.08,0.9900000095367432,461.871,248.859,0.9919999837875366,442.932,335.318,0.996999979019165
17,1466.54,515.07,1.0,1464.084,561.603,1.0,1463.952,601.194,1.0,,,,,,,,,,1222.075,443.998,1.0,1222.786,493.413,1.0,1216.333,540.467,1.0,509.4,429.629,0.9959999918937683,580.664,560.992,0.9879999756813049,629.816,670.443,0.9729999899864197,457.343,180.019,0.9909999966621399,461.934,248.723,0.9919999837875366,442.932,335.318,0.996999979019165
18,1466.947,515.702,1.0,1463.741,561.553,1.0,1463.682,601.194,1.0,,,,,,,,,,1222.075,443.998,1.0,1222.786,493.15,1.0,1216.043,540.467,1.0,509.4,428.998,0.9959999918937683,580.664,561.292,0.9900000095367432,629.816,670.443,0.9750000238418579,457.33,180.019,0.9919999837875366,461.934,248.669,0.9909999966621399,442.932,335.368,0.996999979019165
19,1466.947,515.72,1.0,1463.72,560.273,1.0,1463.595,601.194,1.0,,,,,,,,,,1222.102,443.636,1.0,1222.786,493.44,1.0,1216.236,540.467,1.0,508.827,429.618,0.9929999709129333,580.927,562.249,0.9520000219345093,628.978,670.45,0.9769999980926514,457.33,180.019,0.9929999709129333,461.871,248.598,0.9929999709129333,442.932,335.58,0.996999979019165
20,1466.797,515.827,1.0,1463.669,559.722,1.0,1463.595,601.194,1.0,,,,,,,,,,1222.102,443.059,1.0,1223.163,493.44,1.0,1215.51,540.467,1.0,509.4,429.593,0.9850000143051147,586.824,564.237,0.9179999828338623,628.978,670.45,0.8309999704360962,457.148,180.484,0.9829999804496765,460.731,248.3,0.9829999804496765,443.306,335.737,0.9959999918937683
21,1466.75,517.683,1.0,1463.669,559.106,1.0,1463.614,601.129,1.0,,,,,,,,,,1222.246,442.956,1.0,1223.447,493.776,1.0,1215.51,540.955,1.0,508.915,429.434,0.9879999756813049,586.831,564.799,0.9509999752044678,628.771,670.462,0.9120000004768372,457.148,180.703,0.9850000143051147,460.611,248.101,0.9850000143051147,443.358,335.769,0.996999979019165
